Fedex_Rank,Player_Name,Fedex_Pts,Player_ID
1,Dustin Johnson,2000,12422
2,Patrick Reed,1800,14838
3,Adam Scott,1600,6430
4,Jason Day,1440,9771
5,Paul Casey,1280,7108
6,Rory McIlroy,1120,10091
7,Jordan Spieth,960,14636
8,Russell Knox,800,13831
9,Emiliano Grillo,640,12808
10,Jimmy Walker,480,7293
11,Brandt Snedeker,384,8820
12,Justin Thomas,368,14139
13,Phil Mickelson,352,1547
14,Ryan Moore,336,7489
15,Kevin Chappell,320,13305
16,Matt Kuchar,304,6169
17,Hideki Matsuyama,288,13562
18,Siwoo Kim,272,14609
19,Kevin Kisner,256,11328
20,Gary Woodland,248,12577
21,Roberto Castro,240,12643
22,Kevin Na,232,7452
23,William McGirt,224,12477
24,Bubba Watson,216,7334
25,Sean O'Hair,208,7626
26,Daniel Berger,200,17606
27,Jason Dufner,192,7301
28,J.B. Holmes,184,7959
29,Jhonattan Vegas,176,13508
30,Charl Schwartzel,168,7398
