"Event_ID","Status_Scrape","Scrape_Date","Event_Name","Event_Date"
3453,"No Tournament Scores Available",2016-01-28,"Mercedes Championship",2006-01-08
3454,"No Tournament Scores Available",2016-01-28,"Sony Open in Hawaii",2006-01-15
3455,"No Tournament Scores Available",2016-01-28,"Pakistan Open",2006-01-22
3456,"No Tournament Scores Available",2016-01-28,"Abu Dhabi Championship",2006-01-22
3457,"No Tournament Scores Available",2016-01-28,"Bob Hope Chrysler Classic",2006-01-22
3458,"No Tournament Scores Available",2016-01-28,"Commercialbank Qatar Masters",2006-01-29
3459,"No Tournament Scores Available",2016-01-28,"Movistar Panama Championship",2006-01-29
3460,"No Tournament Scores Available",2016-01-28,"Buick Invitational",2006-01-29
3461,"No Tournament Scores Available",2016-01-28,"Dimension Data Pro-Am",2006-01-29
3462,"No Tournament Scores Available",2016-01-28,"Dubai Desert Classic",2006-02-05
3463,"No Tournament Scores Available",2016-01-28,"FBR Open",2006-02-05
3464,"No Tournament Scores Available",2016-01-28,"Nashua Masters",2006-02-05
3465,"No Tournament Scores Available",2016-01-28,"Abierto Movistar Guatemala Open",2006-02-05
3466,"No Tournament Scores Available",2016-01-28,"Johnnie Walker Classic",2006-02-12
3467,"No Tournament Scores Available",2016-01-28,"AT&T Pebble Beach National Pro-Am",2006-02-12
3468,"No Tournament Scores Available",2016-01-28,"Kai Fieberg Costa Rica Open",2006-02-12
3469,"No Tournament Scores Available",2016-01-28,"Maybank Malaysian Open",2006-02-19
3470,"No Tournament Scores Available",2016-01-28,"Nissan Open",2006-02-19
3471,"No Tournament Scores Available",2016-01-28,"Jacobs Creek Open",2006-02-19
3472,"No Tournament Scores Available",2016-01-28,"Telkom PGA Championship",2006-02-19
3473,"No Tournament Scores Available",2016-01-28,"WGC Accenture Match Play",2006-02-26
3474,"No Tournament Scores Available",2016-01-28,"ING NZ PGA Championship",2006-02-26
3475,"No Tournament Scores Available",2016-01-28,"Vodacom Tour Championship",2006-02-26
3476,"No Tournament Scores Available",2016-01-28,"Chrysler Classic of Tuscon",2006-02-26
3477,"No Tournament Scores Available",2016-01-28,"Estoril Challenge",2006-02-26
3478,"No Tournament Scores Available",2016-01-28,"Enjoy Jakarta HSBC Indonesia Open",2006-03-05
3479,"No Tournament Scores Available",2016-01-28,"Ford Championship at Doral",2006-03-05
3480,"No Tournament Scores Available",2016-01-28,"Yes! Golf BCR Classic",2006-03-05
3481,"No Tournament Scores Available",2016-01-28,"Honda Classic",2006-03-12
3482,"No Tournament Scores Available",2016-01-28,"OSIM Singapore Masters",2006-03-12
3483,"No Tournament Scores Available",2016-01-28,"Tusker Kenya Open",2006-03-12
3484,"No Tournament Scores Available",2016-01-28,"Yes! Golf BCR Challenge",2006-03-12
3485,"No Tournament Scores Available",2016-01-28,"Bay Hill Invitational",2006-03-19
3486,"No Tournament Scores Available",2016-01-28,"TCL Classic",2006-03-19
3487,"No Tournament Scores Available",2016-01-28,"Madeira Island Open",2006-03-26
3488,"No Tournament Scores Available",2016-01-28,"The Players Championship",2006-03-26
3489,"No Tournament Scores Available",2016-01-28,"Chitimacha Louisiana Open",2006-03-26
3490,"No Tournament Scores Available",2016-01-28,"Northern California Classic",2006-03-26
3491,"No Tournament Scores Available",2016-01-28,"BellSouth Classic",2006-04-02
3492,"No Tournament Scores Available",2016-01-28,"Algarve Open de Portugal",2006-04-02
3493,"No Tournament Scores Available",2016-01-28,"Livermore Valley Wine Country Champ",2006-04-02
3494,"No Tournament Scores Available",2016-01-28,"MASTERS TOURNAMENT",2006-04-09
3495,"No Tournament Scores Available",2016-01-28,"Peugeot Challenge R.C.G. El Prat",2006-04-09
3496,"No Tournament Scores Available",2016-01-28,"Token Homemate Cup",2006-04-16
3497,"No Tournament Scores Available",2016-01-28,"Volvo China Open",2006-04-16
3498,"No Tournament Scores Available",2016-01-28,"Verizon Heritage",2006-04-16
3499,"No Tournament Scores Available",2016-01-28,"BMW Asian Open",2006-04-23
3500,"No Tournament Scores Available",2016-01-28,"Shell Houston Open",2006-04-23
3501,"No Tournament Scores Available",2016-01-28,"Tsuruya Open",2006-04-23
3502,"No Tournament Scores Available",2016-01-28,"Athens Regional Foundation Classic",2006-04-23
3503,"No Tournament Scores Available",2016-01-28,"Diablo Grande California Classic",2006-04-23
3504,"No Tournament Scores Available",2016-01-28,"Maekyung Open",2006-04-30
3505,"No Tournament Scores Available",2016-01-28,"Andalucia Open de Espana",2006-04-30
3506,"No Tournament Scores Available",2016-01-28,"Zurich Classic of New Orleans",2006-04-30
3507,"No Tournament Scores Available",2016-01-28,"The Crowns",2006-04-30
3508,"No Tournament Scores Available",2016-01-28,"Tessali-Metaponto Open",2006-04-30
3509,"No Tournament Scores Available",2016-01-28,"BMW Charity Pro-Am at The Cliffs",2006-04-30
3510,"No Tournament Scores Available",2016-01-28,"Wachovia Championship",2006-05-07
3511,"No Tournament Scores Available",2016-01-28,"Telecom Italia Open",2006-05-07
3512,"No Tournament Scores Available",2016-01-28,"Virginia Beach Open",2006-05-07
3513,"No Tournament Scores Available",2016-01-28,"SK Telecom Open",2006-05-07
3514,"No Tournament Scores Available",2016-01-28,"Parco di Monza Challenge",2006-05-14
3515,"No Tournament Scores Available",2016-01-28,"Quinn Direct British Masters",2006-05-14
