"Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Mercedes Championship",3453,2006-01-08,"PGA Tour",NA,NA,2016-01-28
"Sony Open in Hawaii",3454,2006-01-15,"PGA Tour",NA,NA,2016-01-28
"Pakistan Open",3455,2006-01-22,"Asian Tour",NA,NA,2016-01-28
"Abu Dhabi Championship",3456,2006-01-22,"European Tour",NA,NA,2016-01-28
"Bob Hope Chrysler Classic",3457,2006-01-22,"PGA Tour",NA,NA,2016-01-28
"Commercialbank Qatar Masters",3458,2006-01-29,"Asian Tour","European Tour",NA,2016-01-28
"Movistar Panama Championship",3459,2006-01-29,"Web.com Tour",NA,NA,2016-01-28
"Buick Invitational",3460,2006-01-29,"PGA Tour",NA,NA,2016-01-28
"Dimension Data Pro-Am",3461,2006-01-29,"Sunshine Tour",NA,NA,2016-01-28
"Dubai Desert Classic",3462,2006-02-05,"European Tour",NA,NA,2016-01-28
"FBR Open",3463,2006-02-05,"PGA Tour",NA,NA,2016-01-28
"Nashua Masters",3464,2006-02-05,"Sunshine Tour",NA,NA,2016-01-28
"Abierto Movistar Guatemala Open",3465,2006-02-05,"European Challenge Tour",NA,NA,2016-01-28
"Johnnie Walker Classic",3466,2006-02-12,"PGA Tour Australasia","Asian Tour","European Tour",2016-01-28
"AT&T Pebble Beach National Pro-Am",3467,2006-02-12,"PGA Tour",NA,NA,2016-01-28
"Kai Fieberg Costa Rica Open",3468,2006-02-12,"European Challenge Tour",NA,NA,2016-01-28
"Maybank Malaysian Open",3469,2006-02-19,"Asian Tour","European Tour",NA,2016-01-28
"Nissan Open",3470,2006-02-19,"PGA Tour",NA,NA,2016-01-28
"Jacobs Creek Open",3471,2006-02-19,"PGA Tour Australasia","Web.com Tour",NA,2016-01-28
"Telkom PGA Championship",3472,2006-02-19,"Sunshine Tour",NA,NA,2016-01-28
"WGC Accenture Match Play",3473,2006-02-26,"WGC",NA,NA,2016-01-28
"ING NZ PGA Championship",3474,2006-02-26,"PGA Tour Australasia",NA,NA,2016-01-28
"Vodacom Tour Championship",3475,2006-02-26,"Sunshine Tour",NA,NA,2016-01-28
"Chrysler Classic of Tuscon",3476,2006-02-26,"PGA Tour",NA,NA,2016-01-28
"Estoril Challenge",3477,2006-02-26,"European Challenge Tour",NA,NA,2016-01-28
"Enjoy Jakarta HSBC Indonesia Open",3478,2006-03-05,"Asian Tour","European Tour",NA,2016-01-28
"Ford Championship at Doral",3479,2006-03-05,"PGA Tour",NA,NA,2016-01-28
"Yes! Golf BCR Classic",3480,2006-03-05,"PGA Tour Canada",NA,NA,2016-01-28
"Honda Classic",3481,2006-03-12,"PGA Tour",NA,NA,2016-01-28
"OSIM Singapore Masters",3482,2006-03-12,"Asian Tour","European Tour",NA,2016-01-28
"Tusker Kenya Open",3483,2006-03-12,"European Challenge Tour",NA,NA,2016-01-28
"Yes! Golf BCR Challenge",3484,2006-03-12,"PGA Tour Canada",NA,NA,2016-01-28
"Bay Hill Invitational",3485,2006-03-19,"PGA Tour",NA,NA,2016-01-28
"TCL Classic",3486,2006-03-19,"Asian Tour","European Tour",NA,2016-01-28
"Madeira Island Open",3487,2006-03-26,"European Tour",NA,NA,2016-01-28
"The Players Championship",3488,2006-03-26,"PGA Tour",NA,NA,2016-01-28
"Chitimacha Louisiana Open",3489,2006-03-26,"Web.com Tour",NA,NA,2016-01-28
"Northern California Classic",3490,2006-03-26,"PGA Tour Canada",NA,NA,2016-01-28
"BellSouth Classic",3491,2006-04-02,"PGA Tour",NA,NA,2016-01-28
"Algarve Open de Portugal",3492,2006-04-02,"European Tour",NA,NA,2016-01-28
"Livermore Valley Wine Country Champ",3493,2006-04-02,"Web.com Tour",NA,NA,2016-01-28
"MASTERS TOURNAMENT",3494,2006-04-09,"Major Championship",NA,NA,2016-01-28
"Peugeot Challenge R.C.G. El Prat",3495,2006-04-09,"European Challenge Tour",NA,NA,2016-01-28
"Token Homemate Cup",3496,2006-04-16,"Japan Golf Tour",NA,NA,2016-01-28
"Volvo China Open",3497,2006-04-16,"Asian Tour","European Tour",NA,2016-01-28
"Verizon Heritage",3498,2006-04-16,"PGA Tour",NA,NA,2016-01-28
"BMW Asian Open",3499,2006-04-23,"Asian Tour","European Tour",NA,2016-01-28
"Shell Houston Open",3500,2006-04-23,"PGA Tour",NA,NA,2016-01-28
"Tsuruya Open",3501,2006-04-23,"Japan Golf Tour",NA,NA,2016-01-28
"Athens Regional Foundation Classic",3502,2006-04-23,"Web.com Tour",NA,NA,2016-01-28
"Diablo Grande California Classic",3503,2006-04-23,"PGA Tour Canada",NA,NA,2016-01-28
"Maekyung Open",3504,2006-04-30,"Asian Tour",NA,NA,2016-01-28
"Andalucia Open de Espana",3505,2006-04-30,"European Tour",NA,NA,2016-01-28
"Zurich Classic of New Orleans",3506,2006-04-30,"PGA Tour",NA,NA,2016-01-28
"The Crowns",3507,2006-04-30,"Japan Golf Tour",NA,NA,2016-01-28
"Tessali-Metaponto Open",3508,2006-04-30,"European Challenge Tour",NA,NA,2016-01-28
"BMW Charity Pro-Am at The Cliffs",3509,2006-04-30,"Web.com Tour",NA,NA,2016-01-28
"Wachovia Championship",3510,2006-05-07,"PGA Tour",NA,NA,2016-01-28
"Telecom Italia Open",3511,2006-05-07,"European Tour",NA,NA,2016-01-28
"Virginia Beach Open",3512,2006-05-07,"Web.com Tour",NA,NA,2016-01-28
"SK Telecom Open",3513,2006-05-07,"Asian Tour",NA,NA,2016-01-28
"Parco di Monza Challenge",3514,2006-05-14,"European Challenge Tour",NA,NA,2016-01-28
"Quinn Direct British Masters",3515,2006-05-14,"European Tour",NA,NA,2016-01-28
"Japan PGA Championship",3516,2006-05-14,"Japan Golf Tour",NA,NA,2016-01-28
"Aamby Valley Asian Masters",3517,2006-05-14,"Asian Tour",NA,NA,2016-01-28
"EDS Byron Nelson Championship",3518,2006-05-14,"PGA Tour",NA,NA,2016-01-28
"Rheem Classic",3519,2006-05-14,"Web.com Tour",NA,NA,2016-01-28
"Corona Mazatlan Classic",3520,2006-05-14,"PGA Tour Canada",NA,NA,2016-01-28
"Bank of America Colonial",3521,2006-05-21,"PGA Tour",NA,NA,2016-01-28
"Henrico County Open",3522,2006-05-21,"Web.com Tour",NA,NA,2016-01-28
"Munsingwear Open KSB Cup",3523,2006-05-21,"Japan Golf Tour",NA,NA,2016-01-28
"Telenet Trophy",3524,2006-05-21,"European Challenge Tour",NA,NA,2016-01-28
"Macau Open",3525,2006-05-21,"Asian Tour",NA,NA,2016-01-28
"Nissan Irish Open",3526,2006-05-21,"European Tour",NA,NA,2016-01-28
"BMW Championship",3527,2006-05-28,"European Tour",NA,NA,2016-01-28
"FedEx St. Jude Classic",3528,2006-05-28,"PGA Tour",NA,NA,2016-01-28
"Mitsubishi Diamond Cup",3529,2006-05-28,"Japan Golf Tour",NA,NA,2016-01-28
"The Philippine Open",3530,2006-05-28,"Asian Tour",NA,NA,2016-01-28
"Tikida Hotels Moroccan Classic",3531,2006-05-28,"European Challenge Tour",NA,NA,2016-01-28
"The Celtic Manor Wales Open",3532,2006-06-04,"European Tour",NA,NA,2016-01-28
"The Memorial Tournament",3533,2006-06-04,"PGA Tour",NA,NA,2016-01-28
"JCB Classic Sendai",3534,2006-06-04,"Japan Golf Tour",NA,NA,2016-01-28
"The Rex Hospital Open",3535,2006-06-04,"Web.com Tour",NA,NA,2016-01-28
"Morson International Pro-Am",3536,2006-06-04,"European Challenge Tour",NA,NA,2016-01-28
"Barclays Classic",3537,2006-06-11,"PGA Tour",NA,NA,2016-01-28
"BA CA Golf Open",3538,2006-06-11,"European Tour",NA,NA,2016-01-28
"LaSalle Bank Open",3539,2006-06-11,"Web.com Tour",NA,NA,2016-01-28
"Thomas Bjorn Open",3540,2006-06-11,"European Challenge Tour",NA,NA,2016-01-28
"Bangkok Airways Open",3541,2006-06-11,"Asian Tour",NA,NA,2016-01-28
"US OPEN CHAMPIONSHIP",3542,2006-06-18,"Major Championship",NA,NA,2016-01-28
"Aa St Omer Open",3543,2006-06-18,"European Challenge Tour","European Tour",NA,2016-01-28
