"Player_Name","Player_ID","Country","WGR_Rank","Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Jimmy Walker",7293,"USA","18","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Brooks Koepka",16243,"USA","22","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Ryan Moore",7489,"USA","32","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Scott Piercy",7899,"USA","34","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Francesco Molinari",7655,"ITA","37","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Kevin Na",7452,"USA","39","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"William McGirt",12477,"USA","44","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Charley Hoffman",5768,"USA","56","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Brendan Steele",11019,"USA","57","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Danny Lee",11826,"NZL","59","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"James Hahn",11374,"USA","60","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"David Lingmerth",14815,"SWE","64","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Daniel Summerhays",12424,"USA","65","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Chris Kirk",12423,"USA","68","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Harris English",14577,"USA","72","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Billy Horschel",11276,"USA","73","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Webb Simpson",11049,"USA","75","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Fabian Gomez",8571,"ARG","78","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Graeme McDowell",7548,"NIR","79","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Tony Finau",11676,"USA","80","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Sean O'Hair",7626,"USA","81","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Patton Kizzire",13470,"USA","82","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Jason Kokrak",12337,"USA","85","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Jim Herman",12846,"USA","87","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Robert Streb",14852,"USA","89","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Smylie Kaufman",18631,"USA","94","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Ryo Ishikawa",12232,"JPN","96","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Jamie Lovemark",11382,"USA","97","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Jon Curran",14699,"USA","100","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Charles Howell III",6892,"USA","103","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Keegan Bradley",13872,"USA","105","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Matt Jones",8605,"AUS","108","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Vaughn Taylor",6930,"USA","109","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Russell Henley",14578,"USA","113","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Bryson DeChambeau",19841,"USA","114","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Kevin Streelman",8480,"USA","115","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
