"Event_ID","Event_Name","Event_Tour_1","Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Projected_Stdev","Win_Rank","Win","Top_5","Top_10","Country","Rounds_Last_Year","Recent_Tour"
6334,"The Barclays ","PGA Tour",1,1,"Jason Day",9771,-2.58035244940289,2.30486866995466,1,0.109,0.3379,0.4938,"AUS",73,"PGA Tour"
6334,"The Barclays ","PGA Tour",2,5,"Rory McIlroy",10091,-2.42678627788014,2.33706652687752,2,0.0925,0.2998,0.4476,"NIR",82,"PGA Tour"
6334,"The Barclays ","PGA Tour",3,4,"Henrik Stenson",5994,-2.36823772145936,2.36271220357603,3,0.0803,0.281,0.4271,"SWE",92,"European Tour"
6334,"The Barclays ","PGA Tour",4,3,"Jordan Spieth",14636,-2.26135416855225,2.30996727273931,4,0.0655,0.2403,0.3889,"USA",88,"PGA Tour"
6334,"The Barclays ","PGA Tour",5,2,"Dustin Johnson",12422,-2.18435821111414,2.3992630339373,5,0.0634,0.2318,0.3686,"USA",88,"PGA Tour"
6334,"The Barclays ","PGA Tour",6,9,"Justin Rose",6093,-1.98904282180425,2.31968983804367,6,0.0437,0.1786,0.3054,"ENG",84,"European Tour"
6334,"The Barclays ","PGA Tour",7,13,"Phil Mickelson",1547,-1.85398489566846,2.32798191934625,7,0.0345,0.1462,0.2636,"USA",74,"PGA Tour"
6334,"The Barclays ","PGA Tour",9,15,"Matt Kuchar",6169,-1.81775145904956,2.1773444035855,8,0.0278,0.1273,0.2412,"USA",108,"PGA Tour"
6334,"The Barclays ","PGA Tour",10,7,"Adam Scott",6430,-1.75418363350862,2.25111378937087,9,0.0248,0.1246,0.2306,"AUS",82,"PGA Tour"
6334,"The Barclays ","PGA Tour",12,16,"Hideki Matsuyama",13562,-1.63521561588379,2.33703468902605,10,0.0238,0.1155,0.2158,"JPN",82,"PGA Tour"
6334,"The Barclays ","PGA Tour",14,8,"Rickie Fowler",12965,-1.59516830884141,2.31894163306911,11,0.02,0.1015,0.1909,"USA",91,"PGA Tour"
6334,"The Barclays ","PGA Tour",13,18,"Brooks Koepka",16243,-1.59584773520887,2.27309912874666,12,0.0193,0.1008,0.1912,"USA",82,"PGA Tour"
6334,"The Barclays ","PGA Tour",15,22,"Jim Furyk",2881,-1.55320102418995,2.35014390952233,12,0.0193,0.097,0.1819,"USA",52,"PGA Tour"
6334,"The Barclays ","PGA Tour",11,6,"Bubba Watson",7334,-1.70127298075605,2.15951188610208,14,0.0157,0.0991,0.1965,"USA",90,"PGA Tour"
6334,"The Barclays ","PGA Tour",16,14,"Patrick Reed",14838,-1.52338879753897,2.20810261644171,15,0.015,0.0853,0.1727,"USA",122,"PGA Tour"
6334,"The Barclays ","PGA Tour",19,24,"Zach Johnson",6986,-1.39783521158717,2.24025580629137,16,0.0138,0.0723,0.1477,"USA",94,"PGA Tour"
6334,"The Barclays ","PGA Tour",17,12,"Branden Grace",11952,-1.43239405550609,2.28663967655944,17,0.0128,0.076,0.1581,"RSA",90,"PGA Tour"
6334,"The Barclays ","PGA Tour",21,31,"Kevin Na",7452,-1.37633528915759,2.31853245454345,17,0.0128,0.0718,0.1457,"USA",99,"PGA Tour"
6334,"The Barclays ","PGA Tour",20,28,"Paul Casey",7108,-1.39490694609851,2.24257653545223,19,0.0118,0.066,0.1382,"ENG",82,"PGA Tour"
6334,"The Barclays ","PGA Tour",24,23,"Brandt Snedeker",8820,-1.29878417527091,2.35450845259367,20,0.0117,0.0664,0.1328,"USA",92,"PGA Tour"
6334,"The Barclays ","PGA Tour",36,19,"Jimmy Walker",7293,-1.09292520800364,2.51077497157674,21,0.0113,0.0636,0.1228,"USA",88,"PGA Tour"
6334,"The Barclays ","PGA Tour",18,25,"Charl Schwartzel",7398,-1.42244006982793,2.24887308141135,22,0.0111,0.0728,0.1531,"RSA",91,"PGA Tour"
6334,"The Barclays ","PGA Tour",25,20,"Russell Knox",13831,-1.25545295035842,2.26019640686032,23,0.0087,0.0517,0.1164,"SCO",105,"PGA Tour"
6334,"The Barclays ","PGA Tour",31,38,"Daniel Berger",17606,-1.1113447413977,2.37440350558487,23,0.0087,0.0511,0.1048,"USA",89,"PGA Tour"
6334,"The Barclays ","PGA Tour",33,17,"Louis Oosthuizen",7672,-1.10836639798567,2.34840453591976,25,0.008,0.048,0.1045,"RSA",80,"PGA Tour"
6334,"The Barclays ","PGA Tour",30,84,"Steve Stricker",4818,-1.11511678457337,2.21056255117188,26,0.0078,0.0421,0.0956,"USA",49,"PGA Tour"
6334,"The Barclays ","PGA Tour",44,76,"Brendan Steele",11019,-1.02391513896996,2.36613859965125,27,0.0077,0.0457,0.0968,"USA",82,"PGA Tour"
