"Event_ID","Event_Name","Event_Tour_1","Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Projected_Stdev","Fedex_Win_Rank","Fedex_Champ","Fedex_2nd","Fedex_Top_5","Fedex_Top_10","Avg_Fedex_Pts","Win_Rank","Win","Top_5","Top_10","Country","Rounds_Last_Year","Recent_Tour"
6381,"TOUR Championship","PGA Tour",3,2,"Dustin Johnson",12422,-2.34293598532809,2.42108689980991,1,0.40148,0.42106,1,1,2678.76621604762,1,0.14078,0.44492,0.66603,"USA",92,"PGA Tour"
6381,"TOUR Championship","PGA Tour",2,3,"Rory McIlroy",10091,-2.36193127721159,2.32815189163904,2,0.13169,0.05659,0.47737,1,1794.35218785714,2,0.13407,0.4481,0.67646,"NIR",90,"PGA Tour"
6381,"TOUR Championship","PGA Tour",5,4,"Jordan Spieth",14636,-2.28606729215376,2.27033614928813,4,0.09574,0.02756,0.31624,0.99998,1593.65916852381,3,0.11544,0.41869,0.6554,"USA",96,"PGA Tour"
6381,"TOUR Championship","PGA Tour",6,6,"Adam Scott",6430,-1.93174358579258,2.25512429141435,3,0.10876,0.08546,0.98028,1,2096.37869176046,4,0.06493,0.30267,0.5365,"AUS",88,"PGA Tour"
6381,"TOUR Championship","PGA Tour",10,14,"Phil Mickelson",1547,-1.7439997719149,2.33465256223681,7,0.01962,0.02566,0.07129,0.24276,797.58467947619,5,0.05139,0.2509,0.46906,"USA",76,"PGA Tour"
6381,"TOUR Championship","PGA Tour",8,17,"Matt Kuchar",6169,-1.78069074558053,2.17051003479368,10,0.01144,0.02292,0.05824,0.20825,738.816629380952,6,0.04375,0.24602,0.4818,"USA",112,"PGA Tour"
6381,"TOUR Championship","PGA Tour",13,15,"Paul Casey",7108,-1.65489500559535,2.25837858002458,6,0.05202,0.02916,0.59079,1,1694.20465687302,7,0.0408,0.22153,0.43603,"ENG",86,"PGA Tour"
6381,"TOUR Championship","PGA Tour",14,18,"Hideki Matsuyama",13562,-1.60902615054669,2.32137356889514,13,0.00892,0.02204,0.04994,0.1735,696.01432517316,7,0.0408,0.2134,0.42328,"JPN",82,"PGA Tour"
6381,"TOUR Championship","PGA Tour",11,7,"Bubba Watson",7334,-1.66908519469395,2.1583033361342,17,0.00387,0.02089,0.04001,0.14812,622.921834207792,9,0.03719,0.21663,0.44143,"USA",92,"PGA Tour"
6381,"TOUR Championship","PGA Tour",12,8,"Patrick Reed",14838,-1.65600708922213,2.1898472131274,5,0.08947,0.14729,0.9994,1,2204.62449158874,10,0.03647,0.21481,0.43361,"USA",126,"PGA Tour"
6381,"TOUR Championship","PGA Tour",18,25,"Charl Schwartzel",7398,-1.3717677652696,2.32856630563505,29,6e-05,0.01504,0.02883,0.10025,523.335476412698,11,0.02747,0.16159,0.34309,"RSA",97,"PGA Tour"
6381,"TOUR Championship","PGA Tour",33,16,"Jimmy Walker",7293,-1.19354359208325,2.5031040676988,9,0.01489,0.00956,0.04416,0.26811,818.155344887446,12,0.0255,0.14387,0.30219,"USA",92,"PGA Tour"
6381,"TOUR Championship","PGA Tour",20,36,"Kevin Na",7452,-1.33810790168323,2.30455449743438,18,0.00379,0.01343,0.02686,0.10752,578.817582079365,13,0.02482,0.15257,0.33456,"USA",97,"PGA Tour"
6381,"TOUR Championship","PGA Tour",23,23,"Brandt Snedeker",8820,-1.315421296882,2.32085074082369,12,0.01012,0.01118,0.03577,0.15831,725.30064398557,14,0.0235,0.14699,0.32696,"USA",94,"PGA Tour"
6381,"TOUR Championship","PGA Tour",29,21,"J.B. Holmes",7959,-1.20975539288277,2.37435599048524,26,0.00046,0.01139,0.02271,0.08528,513.025819522367,15,0.02168,0.13589,0.29796,"USA",84,"PGA Tour"
6381,"TOUR Championship","PGA Tour",24,19,"Russell Knox",13831,-1.29379825222315,2.25038206429209,8,0.01634,0.00377,0.06139,0.98684,1129.63091292208,16,0.01979,0.13571,0.31318,"SCO",107,"PGA Tour"
6381,"TOUR Championship","PGA Tour",37,37,"Daniel Berger",17606,-1.12645638004968,2.33526427668015,24,0.00095,0.00967,0.01818,0.07272,509.6138251443,17,0.01702,0.11524,0.26997,"USA",93,"PGA Tour"
6381,"TOUR Championship","PGA Tour",34,49,"Gary Woodland",12577,-1.19084254678591,2.23091891520964,19,0.00319,0.00896,0.01783,0.08389,560.029355634921,18,0.01591,0.11857,0.28211,"USA",91,"PGA Tour"
6381,"TOUR Championship","PGA Tour",28,26,"Emiliano Grillo",12808,-1.2109804594606,2.18062560797074,11,0.01085,0.00466,0.0383,0.76974,951.950844936508,19,0.01565,0.11696,0.28386,"ARG",116,"PGA Tour"
6381,"TOUR Championship","PGA Tour",42,32,"Justin Thomas",14139,-1.04946643636797,2.36634253595325,14,0.00716,0.00657,0.02323,0.10708,668.110005206349,20,0.01522,0.10605,0.25045,"USA",96,"PGA Tour"
6381,"TOUR Championship","PGA Tour",38,42,"Ryan Moore",7489,-1.07509194775416,2.31343256022577,15,0.0056,0.00784,0.02155,0.09662,637.085524919192,21,0.01513,0.10698,0.25561,"USA",81,"PGA Tour"
6381,"TOUR Championship","PGA Tour",48,34,"Kevin Chappell",13305,-0.975863633351309,2.38916937738576,16,0.00486,0.00724,0.01982,0.08442,612.732362142857,22,0.01405,0.09855,0.23689,"USA",93,"PGA Tour"
