Rank,OWGR_Rank,Player_Name,Player_ID,Projected_Rating,Rating_StdErr,Projected_Stdev,Prev_Rank,Rank_Change,Previous_Rating,Change,Weight_Sum,Total_Weight,Rounds_Player,Avg_SoS,Center_Wt,Primary_Player,Country,Rounds_Last_Year,Recent_Tour,Common_Tour,estimate,std.error,p.value,Sample_Stdev,Expected_Stdev,Rating_Date
1,1,Luke Donald,4163,-2.351122342,0.407259348,2.681348902,1,0,-2.35144407,0.000321728,80.98412449,86.04212226,324,-0.628564252,0.384766221,1,ENG,90,European Tour,PGA Tour,-2.618527114,0.304373947,4.67E-42,2.508577529,2.650239943,1/25/2012
2,2,Lee Westwood,4052,-2.237073719,0.426105087,2.81360508,2,0,-2.241148011,0.004074292,67.38522742,72.08078298,325,-0.300431414,0.354842035,1,ENG,79,European Tour,European Tour,-2.556791549,0.312340489,6.83E-39,2.83431693,2.781152279,1/25/2012
3,5,Steve Stricker,4818,-2.116340254,0.427815302,2.740682747,3,0,-2.113820107,-0.002520146,68.09301941,72.85559073,305,-0.918556144,0.370837225,1,USA,75,PGA Tour,PGA Tour,-2.396579941,0.311503616,3.28E-36,2.634610678,2.707086254,1/25/2012
4,3,Rory McIlroy,10091,-2.102827059,0.406406759,2.850610957,4,0,-2.105338451,0.002511392,76.97673976,81.82062187,368,-0.334475849,0.349165765,1,NIR,78,European Tour,European Tour,-2.376512313,0.306825437,6.59E-37,2.928297707,2.82149187,1/25/2012
5,25,Tiger Woods,5321,-1.886766274,0.528748845,2.851568856,5,0,-1.887180735,0.000414461,38.82661299,42.95486275,186,-0.711488736,0.323618114,1,USA,38,PGA Tour,PGA Tour,-2.34828148,0.343015874,1.84E-29,2.956488621,2.802118769,1/25/2012
6,8,Charl Schwartzel,7398,-1.809468929,0.394612054,2.783272403,7,-1,-1.772930788,-0.036538141,88.28985836,93.43211676,396,-0.254948353,0.372015184,1,RSA,87,European Tour,European Tour,-2.040256127,0.301654681,4.18E-32,2.761872674,2.755156365,1/25/2012
7,11,Matt Kuchar,6169,-1.795226528,0.403249433,2.641444119,6,1,-1.78006503,-0.015161498,80.92362466,85.90591571,361,-0.793279761,0.366343217,1,USA,88,PGA Tour,PGA Tour,-2.019906405,0.304161871,2.89E-31,2.412214244,2.610482125,1/25/2012
8,18,Hunter Mahan,7636,-1.72214221,0.404492988,2.632781319,8,0,-1.721186096,-0.000956114,77.47196915,82.3124129,362,-0.860884434,0.346046129,1,USA,93,PGA Tour,PGA Tour,-1.947516583,0.305939874,9.76E-30,2.38112304,2.601523188,1/25/2012
9,4,Martin Kaymer,8117,-1.698473869,0.41385538,2.687171849,9,0,-1.703535888,0.005062019,73.48325158,78.28644185,346,-0.350267425,0.354690423,1,GER,82,European Tour,European Tour,-1.957051066,0.308848022,2.31E-29,2.506612271,2.655111348,1/25/2012
10,17,Sergio Garcia,5689,-1.637920882,0.408972515,2.849023692,10,0,-1.640109829,0.002188947,77.77667675,82.71130275,359,-0.465453418,0.36890905,1,ESP,97,European Tour,PGA Tour,-1.875573985,0.305941143,1.39E-28,2.922304905,2.819517242,1/25/2012
