"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Total_Weight","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
1,1,"Tiger Woods","5321",-2.46447895712189,0.60555491767526,2.81941882648195,1,0,-2.5341987545372,0.0697197974153148,73.9672143886336,79.2391263402586,242,-0.916769374887011,0.479107390016111,1,"USA",70,"PGA Tour","PGA Tour",-2.75561527859282,0.541673589797221,5.43549299522153e-25,2.75924940150153,2.75362048234686,2013-09-25
2,7,"Steve Stricker","4818",-2.36041545378308,0.606015015073265,2.71665206164541,2,0,-2.28169010740982,-0.0787253463732553,65.942616200535,70.7873309919958,280,-0.954281927100514,0.407843931266363,1,"USA",51,"PGA Tour","PGA Tour",-2.667405681841,0.545104122701194,5.63020538467892e-24,2.47065700471341,2.64819640992658,2013-09-25
3,2,"Adam Scott","6430",-2.11470127741642,0.591695941411096,2.83629014986821,3,0,-2.12323504547705,0.00853376806063189,81.0113138632043,86.2878657019246,323,-0.736150320573045,0.438593513424608,1,"AUS",76,"PGA Tour","PGA Tour",-2.36624911802263,0.53917494141187,4.88535739548617e-22,2.80779095052003,2.77388495204057,2013-09-25
4,5,"Justin Rose","6093",-2.03541931600442,0.580860552142258,2.6750061349332,4,0,-1.99391752784228,-0.0415017881621356,91.1148030237693,96.5451333441405,369,-0.705158848135614,0.423713876628281,1,"ENG",88,"PGA Tour","PGA Tour",-2.25801203806267,0.536320282095449,2.0951731519171e-21,2.43596824093055,2.61117958802056,2013-09-25
5,8,"Matt Kuchar","6169",-1.87168226831245,0.576119160598054,2.78627685147224,5,0,-1.92369514544428,0.0520128771318253,102.730573472978,108.526276012354,385,-0.769032093541918,0.446936576282312,1,"USA",99,"PGA Tour","PGA Tour",-2.06192924053845,0.533613476704362,4.27449354133474e-20,2.69926943448833,2.72606408689192,2013-09-25
6,13,"Jim Furyk","2881",-1.86835451375543,0.581322463940896,2.81054012639807,7,-1,-1.86285110770346,-0.00550340605197386,93.5644731203753,99.1271260072436,350,-0.829570340417845,0.440905146596533,1,"USA",86,"PGA Tour","PGA Tour",-2.07166620522194,0.53565781722648,4.99842880560814e-20,2.74947309738877,2.74976362529789,2013-09-25
7,3,"Phil Mickelson","1547",-1.85751032520462,0.580847669648957,2.85463953335537,9,-2,-1.84089310803356,-0.0166172171710584,93.7392939347726,99.2957144091286,357,-0.735861428596535,0.43875313927305,1,"USA",90,"PGA Tour","PGA Tour",-2.0637860952195,0.535546072277496,5.62784467686446e-20,2.85003016913586,2.79492090229021,2013-09-25
8,15,"Luke Donald","4163",-1.85577614321267,0.581868677063929,2.71860770034044,8,0,-1.86049811891618,0.00472197570350641,88.981483038157,94.344619798473,362,-0.69391174734677,0.418769545460833,1,"ENG",82,"PGA Tour","PGA Tour",-2.07236171377151,0.536894451795998,6.00506406461105e-20,2.533616645466,2.65560853120376,2013-09-25
9,17,"Sergio Garcia","5689",-1.80678375758257,0.581721147623076,2.83832184617826,10,-1,-1.77834743112405,-0.0284363264585188,94.6475020785173,100.271989739829,353,-0.569436933089254,0.448926303316329,1,"ESP",91,"PGA Tour","PGA Tour",-2.01612470067817,0.535502965351426,1.26929940399996e-19,2.81217541986368,2.77806972714884,2013-09-25
10,19,"Charl Schwartzel","7398",-1.77330080784887,0.576144255963258,2.90965260376309,6,4,-1.89485810876486,0.121557300915986,97.7465074914975,103.314003629933,401,-0.493748038479268,0.423032227236392,1,"RSA",101,"PGA Tour","PGA Tour",-1.97652573802693,0.534774495486883,2.23098336015122e-19,2.97209283981496,2.85204068535249,2013-09-25
