"Rank","Player","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev"
1,"Tiger Woods","5321",-2.67161054820623,0.657255827522563,2.86413553220513,65.4249037568053,238,-1.04995712303869,0.421291538393132,1,"USA",70,"PGA Tour","PGA Tour",-3.0000115045691,0.606768484537577,1.55676689839974e-21,2.85397464702242,2.78770283997911
2,"Adam Scott","6430",-2.36261953131743,0.642715750543651,2.8564711326695,78.1571245412042,315,-0.540530738338696,0.421871058575055,1,"AUS",76,"PGA Tour","PGA Tour",-2.64656067485312,0.602091383746833,1.91439951014694e-19,2.83211316131313,2.78322543028359
3,"Justin Rose","6093",-2.23738516098664,0.632944582628962,2.66161070853114,89.957818637071,365,-0.730172792931988,0.417599376310558,1,"ENG",92,"PGA Tour","PGA Tour",-2.47306811306503,0.599064573264847,1.72392470530112e-18,2.37465289252061,2.58525679944726
4,"Steve Stricker","4818",-2.2361742575791,0.663604866759109,2.74731276511512,55.5618237943399,276,-1.11470980866698,0.348420986007391,1,"USA",51,"PGA Tour","PGA Tour",-2.57242503588095,0.611741518829187,2.04794297569769e-18,2.49202447639209,2.66596249226768
5,"Sergio Garcia","5689",-2.1902596858232,0.633658300677963,2.87280483127063,88.999298641939,353,-0.630259897064587,0.41821444316887,1,"ESP",96,"PGA Tour","PGA Tour",-2.42968416246453,0.5992757154258,3.36185221649994e-18,2.86930637459947,2.80205009886579
6,"Matt Kuchar","6169",-2.11913243248287,0.628687121462474,2.76830653044743,95.4534748279218,389,-0.80494148675542,0.411419854563618,1,"USA",107,"PGA Tour","PGA Tour",-2.33271910482354,0.5977478730147,1.14291142110597e-17,2.63088387963964,2.69597358106957
7,"Charl Schwartzel","7398",-1.99968517477729,0.628228339897525,2.83694623393432,101.852949207769,390,-0.359321358889597,0.436413913453126,1,"RSA",103,"PGA Tour","European Tour",-2.21495599184504,0.596699407095389,5.46474616096948e-17,2.78515705711537,2.76651280264229
8,"Henrik Stenson","5994",-1.99780920552345,0.630073522984806,2.89849960229635,100.949395746283,356,-0.53805373521556,0.448132269534804,1,"SWE",112,"PGA Tour","PGA Tour",-2.20799466780527,0.596880949785993,6.16507129820436e-17,2.9193987205746,2.82918845256826
9,"Webb Simpson","11049",-1.98231979337746,0.631818436791926,2.85930766012592,87.401243973157,378,-0.901173580855821,0.394420771367203,1,"USA",100,"PGA Tour","PGA Tour",-2.19969979485735,0.599497453384897,9.43464649636564e-17,2.83945344116186,2.78862793469917
10,"Jim Furyk","2881",-1.93617050781675,0.636842555879867,2.79959995720002,77.1872548065489,342,-0.975102617958521,0.36717875925972,1,"USA",82,"PGA Tour","PGA Tour",-2.17180912263424,0.60237421996163,1.94058657811487e-16,2.69075221247531,2.7262045923545
11,"Phil Mickelson","1547",-1.92870009218503,0.634942224990593,2.8425936884626,80.4227161520341,353,-0.824445468297219,0.375895899273919,1,"USA",90,"PGA Tour","PGA Tour",-2.16210021314358,0.601285029963005,1.96087548565573e-16,2.80047908707939,2.77077376352011
12,"Rory McIlroy","10091",-1.91485470448686,0.637382052395878,2.92860256527713,84.8706460362483,344,-0.596191986030348,0.423895781090228,1,"NIR",84,"PGA Tour","European Tour",-2.14911282881895,0.600331695993286,2.10618429667143e-16,3.00528504677932,2.85840114480655
13,"Luke Donald","4163",-1.90424046542574,0.633450136796864,2.7459431517018,88.016366557999,366,-0.728502841478458,0.410538442066598,1,"ENG",86,"PGA Tour","PGA Tour",-2.12388196920132,0.599538083159781,2.73052978351218e-16,2.56981120250111,2.67188037093169
14,"Jason Day","9771",-1.871927007489,0.631630020763162,2.73974963670839,79.5723461322866,322,-0.848121124202166,0.419330344374985,1,"AUS",92,"PGA Tour","PGA Tour",-2.1052187829489,0.590191558342257,1.2045121893289e-16,2.54447061007258,2.66594665901524
15,"Zach Johnson","6986",-1.81554032107997,0.631556260669861,2.86176933012202,87.424286438953,370,-0.921738457034372,0.392297694107318,1,"USA",95,"PGA Tour","PGA Tour",-2.02193172377799,0.599495047431507,1.09961153250022e-15,2.84542157585297,2.7912112762089
16,"Ian Poulter","1435",-1.72916248698601,0.637753219481216,2.76268024143676,82.6795122312591,332,-0.743811582215392,0.412718551183379,1,"ENG",79,"PGA Tour","PGA Tour",-1.94984134259273,0.600920820589829,3.37453716293852e-15,2.60190969415567,2.68806118744838
17,"Bubba Watson","7334",-1.7048059169786,0.636923104809437,2.7934737741965,83.4620239623031,343,-0.822027733092514,0.411728644622271,1,"USA",89,"PGA Tour","PGA Tour",-1.91855033504067,0.600612469276505,4.95070476706383e-15,2.67841235505409,2.71989424163579
18,"Jason Dufner","7301",-1.66644473548873,0.632997268176656,2.85076467022642,83.825940269054,358,-0.905095079428788,0.381566132774374,1,"USA",93,"PGA Tour","PGA Tour",-1.87210852072498,0.600483153972878,9.0098810311063e-15,2.82020688971626,2.77959955092312
19,"Keegan Bradley","13872",-1.65366136134408,0.6281975549059,2.86440845391247,93.1912240594056,392,-0.83805834619242,0.395109909061071,1,"USA",103,"PGA Tour","PGA Tour",-1.84266257952712,0.598265082815013,1.05847995442932e-14,2.84980303127522,2.79467415325212
20,"Brandt Snedeker","8820",-1.62429437980604,0.637502572412513,2.84496213747413,75.7996232412536,349,-0.860812809185658,0.363074477357462,1,"USA",83,"PGA Tour","PGA Tour",-1.84875446693131,0.602640562417601,1.51810576216252e-14,2.80692829372841,2.77261609925154
21,"Bill Haas","7900",-1.59577928184826,0.631531466002743,2.68929621548116,85.9664809599374,379,-0.907423877682804,0.383260557473448,1,"USA",96,"PGA Tour","PGA Tour",-1.79241826415982,0.599847499696697,2.38669154486295e-14,2.43228600337475,2.61409298649641
22,"Dustin Johnson","12422",-1.57218501450152,0.638758935608129,2.95825862717264,78.814857551142,342,-0.832597616575377,0.394636443020324,1,"USA",84,"PGA Tour","PGA Tour",-1.78772343123408,0.601938882270572,3.11221037492996e-14,3.09052320223167,2.88847384052931
23,"Jordan Spieth","14636",-1.52490750089426,0.681179137993489,2.85033743440551,63.769234611379,128,-0.761224583957394,0.570757473543966,1,"USA",98,"PGA Tour","PGA Tour",-1.79470071165772,0.607316841365417,4.77926004583557e-14,2.79974901556999,2.76774609961532
24,"Lee Westwood","4052",-1.5092512725456,0.632778103726735,2.89508675138484,89.9533770495443,342,-0.723442163864804,0.415901142761207,1,"ENG",96,"PGA Tour","PGA Tour",-1.7016333587888,0.59910352948729,7.11099201686448e-14,2.92108228141682,2.82508746227228
