"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Weight_Sum","Total_Weight","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
1,2,"Rory McIlroy","10091",-2.46976336614551,0.676192578584967,2.81905495029787,68.2716314198637,72.9862218493939,324,-0.613936468212156,0.355811163222555,1,"NIR",78,"Sunshine Tour","PGA Tour",-2.78717731954746,0.643376069847411,2.08120967958534e-11,2.71444766656173,2.73675618378137,2017-01-25
2,1,"Jason Day","9771",-2.43713930026179,0.67972003939857,2.77460606344253,54.8209535155958,59.2231055730679,282,-0.797244493774202,0.329126729696694,1,"AUS",65,"PGA Tour","PGA Tour",-2.80953218524272,0.633937165958581,8.18708822368697e-12,2.56431966508843,2.69005938137656,2017-01-25
3,4,"Henrik Stenson","5994",-2.427497740903,0.669040481718439,2.84781441850306,74.795176986074,79.5996607864387,370,-0.5961209805925,0.348814951158562,1,"SWE",76,"European Tour","PGA Tour",-2.71752983016731,0.641345269797426,3.77042495867995e-11,2.79595417079078,2.76810978757272,2017-01-25
4,3,"Dustin Johnson","12422",-2.28855475166889,0.674561749869019,2.88960669614222,75.3863209937982,80.4063406711317,309,-0.814509833827588,0.403261402677714,1,"USA",90,"PGA Tour","PGA Tour",-2.56209906278171,0.64095340510215,1.83712773392303e-10,2.90094132331,2.80976748219557,2017-01-25
5,5,"Jordan Spieth","14636",-2.21184293161727,0.663327015139374,2.73832853646197,82.4511241965197,87.4113160189761,400,-0.663769180774801,0.354195733941982,1,"USA",88,"PGA Tour","PGA Tour",-2.46259022866289,0.638934312043716,4.41011038816762e-10,2.52674212840407,2.65677256169742,2017-01-25
6,6,"Hideki Matsuyama","13562",-2.13787942629687,0.665702227160289,2.83827828399095,84.2889513795855,89.4220500510166,365,-0.660416403049494,0.387500056579574,1,"JPN",90,"PGA Tour","PGA Tour",-2.38197533388075,0.638548049653277,9.57719886220583e-10,2.77152905812712,2.75910568158025,2017-01-25
7,13,"Justin Rose","6093",-1.82797274672216,0.673028226651419,2.83291413453591,67.7440458014503,72.3420623036492,344,-0.655389123963336,0.324166202124129,1,"ENG",70,"PGA Tour","PGA Tour",-2.09920902020149,0.643480162944793,1.80221265746119e-08,2.75487143107529,2.75180586157232,2017-01-25
8,7,"Adam Scott","6430",-1.78006713847459,0.672625877986643,2.85955570658351,76.7363023897234,81.7593304335501,322,-0.38824820475458,0.396951116068031,1,"AUS",86,"Asian Tour","PGA Tour",-2.03514221029298,0.640555763664867,2.76541750293741e-08,2.82326620504765,2.77932244752512,2017-01-25
9,15,"Sergio Garcia","5689",-1.74509749853562,0.674509296897518,2.7624179181126,68.7748249042874,73.4656354040407,341,-0.447919380763875,0.346292557316001,1,"ESP",75,"Asian Tour","PGA Tour",-2.01782368623792,0.643170723927357,3.66745562148996e-08,2.55975504353561,2.67880383057594,2017-01-25
10,22,"Phil Mickelson","1547",-1.68556668702745,0.680146400255783,2.80951553559722,64.6788652061706,69.3280188253066,309,-0.679876593248214,0.355341305223244,1,"USA",80,"PGA Tour","PGA Tour",-1.95915563409214,0.64446289936602,6.51397844631875e-08,2.68317600610822,2.72594541746184,2017-01-25
11,20,"Matt Kuchar","6169",-1.65932600282644,0.660019065199386,2.723618310892,86.7376700959962,91.7587482016326,402,-0.726860628581277,0.350730681133785,1,"USA",96,"PGA Tour","PGA Tour",-1.86422281868613,0.637786763709265,1.08543759790626e-07,2.49982523460019,2.6424366666014,2017-01-25
12,16,"Paul Casey","7108",-1.65726413151053,0.669490060777584,2.80470873308069,76.0707407446739,80.9608976895954,355,-0.709266423737992,0.365490576616685,1,"ENG",84,"PGA Tour","PGA Tour",-1.88993910005657,0.640606138150588,9.8987704517195e-08,2.68377147684387,2.72363252586305,2017-01-25
13,14,"Rickie Fowler","12965",-1.60577647460152,0.668630620236879,2.8128319577775,75.5154584114072,80.3464701021994,357,-0.74612854141406,0.352513702172315,1,"USA",81,"European Tour","PGA Tour",-1.83450000208402,0.640903587279267,1.60926804540046e-07,2.70511137786589,2.73220729747508,2017-01-25
14,8,"Justin Thomas","14139",-1.59485546983337,0.663062792262149,2.93172892641702,89.0422600676159,94.2943407928784,331,-0.603618617921133,0.393539140613018,1,"USA",98,"PGA Tour","PGA Tour",-1.79825870642268,0.637213556161433,1.85745546464142e-07,2.9923581640173,2.85576298587747,2017-01-25
15,19,"Brooks Koepka","16243",-1.55025299604178,0.669070907147389,2.81509509375066,72.7654524646501,77.4855386276774,360,-0.599104041178659,0.335347646912542,1,"USA",76,"PGA Tour","PGA Tour",-1.78921476283685,0.641605748358361,2.42656182302725e-07,2.70982147927216,2.73442946664711,2017-01-25
16,10,"Alexander Noren","10419",-1.50300589079484,0.655639915970389,2.80410378867033,130.028769742669,136.60973646706,211,-0.11674018466959,0.47389000610995,1,"SWE",80,"European Tour","European Tour",-1.66680101707596,0.632185381304714,4.49773563514147e-07,2.70548532626329,2.72637751571964,2017-01-25
17,11,"Bubba Watson","7334",-1.46021468457274,0.671720556046947,2.74464400757256,73.5720468285408,78.4124298235246,334,-0.780997954567871,0.364372897795697,1,"USA",81,"PGA Tour","PGA Tour",-1.68392962456937,0.641500469406222,5.73282732555807e-07,2.52233794534585,2.66117684923192,2017-01-25
18,32,"Francesco Molinari","7655",-1.45810595883999,0.66704384684352,2.78150322206972,76.2344132885326,81.0473482168295,370,-0.4193172585585,0.344446785030711,1,"ITA",84,"PGA Tour","European Tour",-1.68934796026816,0.640597464535189,5.28920726603278e-07,2.62541675253711,2.70033566076005,2017-01-25
19,9,"Patrick Reed","14838",-1.44660865442644,0.655880261241589,2.77922797978009,104.352257264024,109.927543398897,421,-0.698092405123608,0.397746285377022,1,"USA",114,"PGA Tour","PGA Tour",-1.61162981760628,0.634540257495743,7.77583949303337e-07,2.64642748938138,2.70072754022063,2017-01-25
20,40,"Bill Haas","7900",-1.3995563309665,0.665371319972246,2.67583221035398,81.8364990911911,86.8525106834123,378,-0.699175578270767,0.370497665236612,1,"USA",90,"PGA Tour","PGA Tour",-1.60193401727785,0.638908984952378,9.98415460756235e-07,2.36945922845794,2.59178684010207,2017-01-25
21,18,"Russell Knox","13831",-1.39540538147691,0.659641945756825,2.78220493133935,93.4162049061075,98.7105627719528,411,-0.681640547263836,0.384164153885029,1,"SCO",99,"PGA Tour","PGA Tour",-1.57526055009741,0.636401163761394,1.11985820442921e-06,2.64486323019483,2.70287565074073,2017-01-25
22,39,"Jim Furyk","2881",-1.36139104706763,0.696167569625747,2.83251962605412,53.1702370372412,57.5694678414433,284,-0.669726758118781,0.338245926408896,1,"USA",58,"PGA Tour","PGA Tour",-1.66320239637662,0.6499824689503,9.44465101425818e-07,2.736197895822,2.7456362007708,2017-01-25
23,24,"Charl Schwartzel","7398",-1.33407385524628,0.663074676680393,2.84632932556361,81.1695346500158,86.0604433020709,396,-0.453237079243873,0.342716921577134,1,"RSA",86,"European Tour","PGA Tour",-1.54336355859264,0.639323218966949,1.60924881312691e-06,2.79354522468513,2.76801781112561,2017-01-25
24,37,"Bernd Wiesberger","9531",-1.32189891796539,0.662143987871603,2.72637935534335,87.460831652931,92.5784738475304,388,-0.148711319058657,0.369912374265702,1,"AUT",97,"European Tour","European Tour",-1.53030102199824,0.638287182352355,1.7142269038404e-06,2.5063626158075,2.64475135477192,2017-01-25
25,30,"Ryan Moore","7489",-1.3122063000663,0.674106853903313,2.80602526317373,72.9317199048945,77.8212746257332,327,-0.72470039704283,0.381056342192609,1,"USA",85,"PGA Tour","PGA Tour",-1.53103691146591,0.641524880942486,1.92169220104486e-06,2.68261570862755,2.72384979892244,2017-01-25
26,47,"Martin Kaymer","8117",-1.26208792834625,0.663856613227797,2.82979589045644,83.9265688946729,88.9612588655463,388,-0.296369816163966,0.365722080882251,1,"GER",89,"European Tour","European Tour",-1.46829969473051,0.638945018510396,2.8336088854496e-06,2.7519558825073,2.750825181417,2017-01-25
27,41,"Gary Woodland","12577",-1.24513089937482,0.668729929750998,2.72286120262862,77.3582144978934,82.2862020299752,363,-0.665466210446986,0.369188338006607,1,"USA",95,"PGA Tour","PGA Tour",-1.45008366073834,0.640134117008375,3.3946501140443e-06,2.47514372211386,2.63946460666466,2017-01-25
28,38,"Zach Johnson","6986",-1.23934849212179,0.666405236360382,2.76786869946064,78.9648392324197,83.8847102639156,368,-0.733883361527754,0.359621078266674,1,"USA",85,"PGA Tour","PGA Tour",-1.43674835321507,0.639727596422858,3.70145255365062e-06,2.5938936436986,2.68644769135849,2017-01-25
29,137,"Jon Rahm","19195",-1.23891571043698,0.827904333744004,2.77148725571873,31.3541106742138,35.8406895667869,56,-0.453507706833056,0.629313905805928,1,"ESP",42,"PGA Tour","PGA Tour",-1.75572375196129,0.671591589843049,1.04547708969189e-06,2.25961039541437,2.64494159156289,2017-01-25
30,28,"Brandt Snedeker","8820",-1.23300165800219,0.664976163196851,2.78142887660525,84.8574003369845,89.9941275295093,366,-0.57319803470026,0.385759447266819,1,"USA",94,"PGA Tour","PGA Tour",-1.42448794206303,0.638239525440004,3.85487026864245e-06,2.63405046947581,2.70076901974114,2017-01-25
31,33,"Daniel Berger","17606",-1.19220576626053,0.67012585308722,2.80123865743858,77.3795369099702,82.3559674058488,291,-0.65429930072576,0.381607477852055,1,"USA",89,"PGA Tour","PGA Tour",-1.39456292314458,0.640143474125484,5.15026343945209e-06,2.67517205097144,2.719902453573,2017-01-25
32,25,"Emiliano Grillo","12808",-1.18198179266645,0.658483025482064,2.71631880039287,97.5591510794953,102.972169988245,398,-0.454625557159502,0.392176210551612,1,"ARG",107,"PGA Tour","European Tour",-1.35233107520985,0.635784751617975,6.08543238252655e-06,2.5000873396594,2.63529655456834,2017-01-25
33,26,"Rafael Cabrera Bello","7457",-1.1765768200294,0.661756534673641,2.80337476275443,90.0840854971026,95.3037140003795,396,-0.185015498487688,0.381782973937646,1,"ESP",102,"European Tour","European Tour",-1.37031919847602,0.637651102192493,5.66908571598883e-06,2.6911482392429,2.72414910554933,2017-01-25
34,56,"Brendan Steele","11019",-1.14139714640345,0.669366921132798,2.85179947189007,76.5060100090019,81.4182902103801,357,-0.612276149006525,0.369194577318037,1,"USA",88,"PGA Tour","PGA Tour",-1.34422571923493,0.640281837923518,7.50042364534158e-06,2.80539624912431,2.77213061610842,2017-01-25
35,23,"Tyrrell Hatton","14796",-1.1320524554994,0.667406062913953,2.76483392947599,82.8930670823731,88.0072538898848,350,-0.011306729284139,0.389462439822043,1,"ENG",88,"European Tour","European Tour",-1.34616762491247,0.639483820862043,7.20315080467199e-06,2.59022100817532,2.68307208340874,2017-01-25
36,17,"Branden Grace","11952",-1.12177537501226,0.662244707620899,2.74813218698509,95.4841350534768,100.975840168907,383,-0.3640164696544,0.417180323058821,1,"RSA",99,"PGA Tour","European Tour",-1.29675117755727,0.63626396010866,9.30867471340805e-06,2.56735539130714,2.66714500250203,2017-01-25
37,27,"Louis Oosthuizen","7672",-1.11997123012495,0.676422559644842,2.87820331915629,71.6928775671022,76.5849922188744,289,-0.627665635842909,0.388355077662848,1,"RSA",86,"PGA Tour","PGA Tour",-1.33407776881611,0.642204663609705,8.59673789166645e-06,2.87392606095441,2.79758947438787,2017-01-25
38,94,"Charles Howell III","6892",-1.10501901364829,0.661664058149255,2.76843760966759,84.7383295927733,89.7475487435854,404,-0.510715740651353,0.356206962791207,1,"USA",89,"PGA Tour","PGA Tour",-1.29080352253724,0.638008527310591,1.02801220315406e-05,2.60434242148808,2.68820525123649,2017-01-25
39,29,"J.B. Holmes","7959",-1.07610957374299,0.678477155134235,2.86439863345669,66.2701604485507,70.9523560280843,275,-0.818793402677423,0.356780660113653,1,"USA",80,"PGA Tour","PGA Tour",-1.29389982270319,0.643967152915295,1.21328220287772e-05,2.83995071506721,2.78288488466726,2017-01-25
40,115,"Keegan Bradley","13872",-1.07244393294689,0.666563760384192,2.74125594551189,80.3921405345361,85.3864904702508,370,-0.574275340412677,0.371765181466406,1,"USA",92,"PGA Tour","PGA Tour",-1.26337604629351,0.639257692024443,1.30258178161171e-05,2.5287780118201,2.65898042718384,2017-01-25
41,49,"Kevin Na","7452",-1.05497546994624,0.665725136740515,2.79517403639234,84.1387748527281,89.2726850674587,328,-0.678533362478614,0.388384598561252,1,"USA",91,"PGA Tour","PGA Tour",-1.23266310624317,0.63837539983131,1.57745464692062e-05,2.66654467561245,2.71473901803354,2017-01-25
42,57,"Marc Leishman","7649",-1.04426782762958,0.671117197163895,2.81493093202448,75.1618900275083,80.0650805254289,340,-0.552907057132878,0.373378183387103,1,"AUS",87,"PGA Tour","PGA Tour",-1.24701147924708,0.640798837609687,1.53470106305139e-05,2.70890958135008,2.73375892494914,2017-01-25
43,80,"Ryan Palmer","7820",-1.02940364250131,0.673622948706649,2.75666600940769,66.9675376572226,71.5547815490186,340,-0.587050445099812,0.324707740446159,1,"USA",77,"PGA Tour","PGA Tour",-1.25204521171598,0.643369864773046,1.60186318858545e-05,2.54103128163756,2.67309551090107,2017-01-25
44,102,"Steve Stricker","4818",-1.02269241200811,0.739741017410806,2.75146532716562,38.5519306815244,42.7149182186617,181,-0.563318869080729,0.343945180133411,1,"USA",50,"PGA Tour","PGA Tour",-1.40548373728902,0.661800653253969,9.60427911060451e-06,2.35233582100179,2.65015936761446,2017-01-25
