"Player_ID","Player_Name","Event_Name","Event_ID","Rank","OWGR_Rank","Projected_Rating","Projected_Stdev","Recent_Tour","Rounds_Last_Year","Win","Top_5","Top_10","Win_Rank"
9771,"Jason Day","Masters Tournament",6149,1,1,-2.42245121892979,2.84310698826866,"PGA Tour",66,0.070874,0.251554,0.40296,1
10091,"Rory McIlroy","Masters Tournament",6149,3,3,-2.37311814754159,2.88854790179081,"PGA Tour",74,0.069434,0.244564,0.3915,2
14636,"Jordan Spieth","Masters Tournament",6149,2,2,-2.37543197186086,2.87569001093375,"PGA Tour",96,0.069128,0.243754,0.392622,3
5994,"Henrik Stenson","Masters Tournament",6149,4,6,-2.22134414097482,2.75730300028647,"PGA Tour",96,0.048984,0.201564,0.345858,4
6093,"Justin Rose","Masters Tournament",6149,6,9,-2.08558521209804,2.80877006644731,"PGA Tour",94,0.043308,0.180044,0.313064,5
7334,"Bubba Watson","Masters Tournament",6149,5,4,-2.14012851883388,2.74349165727356,"PGA Tour",86,0.042874,0.18359,0.322344,6
12422,"Dustin Johnson","Masters Tournament",6149,8,8,-1.95006644415194,2.91529573157638,"PGA Tour",86,0.040442,0.163864,0.286094,7
12965,"Rickie Fowler","Masters Tournament",6149,7,5,-2.03483816907977,2.77060016976487,"PGA Tour",90,0.037974,0.167044,0.297494,8
6430,"Adam Scott","Masters Tournament",6149,10,7,-1.93022898430889,2.83590925130431,"PGA Tour",78,0.035462,0.153826,0.276316,9
13562,"Hideki Matsuyama","Masters Tournament",6149,11,14,-1.79914811537613,2.77955287335923,"PGA Tour",88,0.026744,0.128236,0.241286,10
5689,"Sergio Garcia","Masters Tournament",6149,12,15,-1.77706952360259,2.7721451285575,"PGA Tour",79,0.02581,0.124664,0.236208,11
1547,"Phil Mickelson","Masters Tournament",6149,13,18,-1.74749441686632,2.79519403298879,"PGA Tour",76,0.025154,0.12182,0.23116,12
6169,"Matt Kuchar","Masters Tournament",6149,14,28,-1.67959288069794,2.69917271290441,"PGA Tour",96,0.019366,0.104282,0.208172,13
14838,"Patrick Reed","Masters Tournament",6149,15,10,-1.59543369440886,2.76585980545341,"PGA Tour",114,0.018592,0.099448,0.1972,14
7293,"Jimmy Walker","Masters Tournament",6149,22,24,-1.3824634201441,2.97544711081538,"PGA Tour",90,0.018034,0.090148,0.175276,15
12920,"Danny Willett","Masters Tournament",6149,18,12,-1.43200930098968,2.83948734911462,"European Tour",86,0.01636,0.086096,0.172218,16
7108,"Paul Casey","Masters Tournament",6149,16,25,-1.53603109086622,2.72754865867071,"PGA Tour",82,0.015888,0.088714,0.182374,17
8820,"Brandt Snedeker","Masters Tournament",6149,26,17,-1.29932823840402,2.93897777866488,"PGA Tour",86,0.015198,0.078892,0.157216,18
6986,"Zach Johnson","Masters Tournament",6149,17,16,-1.4772768642536,2.75676754479686,"PGA Tour",88,0.015088,0.083994,0.172736,19
7398,"Charl Schwartzel","Masters Tournament",6149,19,20,-1.42575113848877,2.78952933742222,"PGA Tour",96,0.01465,0.081574,0.167714,20
11952,"Branden Grace","Masters Tournament",6149,21,13,-1.39300132087594,2.80179459489535,"European Tour",90,0.014434,0.079158,0.162798,21
16243,"Brooks Koepka","Masters Tournament",6149,23,19,-1.37307177709805,2.82024755023125,"PGA Tour",98,0.01431,0.0782,0.160552,22
7452,"Kevin Na","Masters Tournament",6149,20,27,-1.40674058180411,2.78615237370699,"PGA Tour",93,0.01402,0.079006,0.16386,23
7959,"J.B. Holmes","Masters Tournament",6149,27,23,-1.24462931195051,2.90715465343568,"PGA Tour",73,0.013164,0.07121,0.145138,24
14139,"Justin Thomas","Masters Tournament",6149,25,34,-1.32328155317704,2.78044279753208,"PGA Tour",96,0.01207,0.07048,0.14909,25
7649,"Marc Leishman","Masters Tournament",6149,28,31,-1.2394139647552,2.77990459783092,"PGA Tour",75,0.010734,0.062702,0.135378,26
