Event_ID,Event_Name,Event_Tour_1,Rank,OWGR_Rank,Player_Name,Player_ID,Projected_Rating,Projected_Stdev,Win_Rank,Win,Top_5,Top_10,Country,Rounds_Last_Year,Recent_Tour
6629,U.S. Open,Major Championship,1,2,Rory McIlroy,10091,-2.438278529,2.323190618,1,0.08179,0.27608,0.42716,NIR,56,PGA Tour
6629,U.S. Open,Major Championship,2,1,Dustin Johnson,12422,-2.304890254,2.430881793,2,0.07496,0.24996,0.38873,USA,78,PGA Tour
6629,U.S. Open,Major Championship,3,5,Jordan Spieth,14636,-2.193857512,2.350294439,3,0.05494,0.21155,0.3489,USA,82,PGA Tour
6629,U.S. Open,Major Championship,4,3,Jason Day,9771,-2.129982215,2.376114946,4,0.05187,0.1994,0.33035,AUS,62,PGA Tour
6629,U.S. Open,Major Championship,5,6,Henrik Stenson,5994,-2.083133585,2.349110465,5,0.04616,0.18578,0.31344,SWE,70,European Tour
6629,U.S. Open,Major Championship,7,4,Hideki Matsuyama,13562,-1.919213573,2.416719499,6,0.03909,0.15586,0.26891,JPN,88,PGA Tour
6629,U.S. Open,Major Championship,6,7,Sergio Garcia,5689,-1.934220853,2.35829427,7,0.03554,0.15367,0.26976,ESP,74,PGA Tour
6629,U.S. Open,Major Championship,9,9,Rickie Fowler,12965,-1.840202737,2.431661181,8,0.03326,0.1424,0.24887,USA,86,PGA Tour
6629,U.S. Open,Major Championship,8,11,Justin Rose,6093,-1.855188826,2.32787922,9,0.03095,0.1365,0.24575,ENG,74,PGA Tour
6629,U.S. Open,Major Championship,10,10,Jon Rahm,19195,-1.813297198,2.351753472,10,0.02936,0.13077,0.23552,ESP,79,PGA Tour
6629,U.S. Open,Major Championship,11,12,Adam Scott,6430,-1.77074711,2.366819303,11,0.027,0.12536,0.22847,AUS,88,PGA Tour
6629,U.S. Open,Major Championship,12,14,Paul Casey,7108,-1.767610362,2.320319537,12,0.02571,0.12,0.2214,ENG,86,PGA Tour
6629,U.S. Open,Major Championship,14,15,Matt Kuchar,6169,-1.65337604,2.298288813,13,0.01942,0.09738,0.19136,USA,102,PGA Tour
6629,U.S. Open,Major Championship,16,13,Justin Thomas,14139,-1.524439688,2.42039678,14,0.01916,0.09302,0.17682,USA,89,PGA Tour
6629,U.S. Open,Major Championship,15,17,Francesco Molinari,7655,-1.64242873,2.279726401,15,0.01809,0.09521,0.18622,ITA,84,PGA Tour
6629,U.S. Open,Major Championship,13,23,Phil Mickelson,1547,-1.658052344,2.244922403,16,0.01711,0.09297,0.18621,USA,88,PGA Tour
6629,U.S. Open,Major Championship,17,8,Alex Noren,10419,-1.451962751,2.36365251,17,0.01393,0.07726,0.15461,SWE,84,European Tour
6629,U.S. Open,Major Championship,18,22,Brooks Koepka,16243,-1.364303418,2.404303549,18,0.01376,0.07228,0.14292,USA,80,PGA Tour
6629,U.S. Open,Major Championship,19,27,Jason Dufner,7301,-1.343923905,2.422462536,19,0.01336,0.06991,0.14008,USA,84,PGA Tour
6629,U.S. Open,Major Championship,25,20,Kevin Kisner,11328,-1.304620464,2.397758188,20,0.0123,0.06451,0.13103,USA,96,PGA Tour
6629,U.S. Open,Major Championship,24,16,Charl Schwartzel,7398,-1.30605356,2.387092722,21,0.01151,0.06317,0.12968,RSA,82,PGA Tour
6629,U.S. Open,Major Championship,22,21,Louis Oosthuizen,7672,-1.315133756,2.346017462,22,0.01064,0.06087,0.12662,RSA,82,PGA Tour
6629,U.S. Open,Major Championship,35,42,Pat Perez,6762,-1.159632774,2.472136982,23,0.01021,0.05588,0.11373,USA,62,PGA Tour
6629,U.S. Open,Major Championship,23,38,Brandt Snedeker,8820,-1.309643222,2.285160441,24,0.00915,0.05551,0.11934,USA,92,PGA Tour
6629,U.S. Open,Major Championship,27,18,Tyrrell Hatton,14796,-1.268505392,2.319868717,25,0.00903,0.05469,0.11641,ENG,88,PGA Tour
6629,U.S. Open,Major Championship,26,24,Daniel Berger,17606,-1.291441827,2.298002839,26,0.00872,0.0544,0.11698,USA,78,PGA Tour
6629,U.S. Open,Major Championship,39,40,Emiliano Grillo,12808,-1.139455736,2.399162121,27,0.00867,0.04903,0.10392,ARG,111,PGA Tour
6629,U.S. Open,Major Championship,28,35,Marc Leishman,7649,-1.228397358,2.314860603,28,0.0085,0.0501,0.10717,AUS,90,PGA Tour
6629,U.S. Open,Major Championship,30,37,Bubba Watson,7334,-1.21701272,2.323612023,29,0.00846,0.05091,0.10919,USA,74,PGA Tour
6629,U.S. Open,Major Championship,21,30,Bernd Wiesberger,9531,-1.315394941,2.240667336,30,0.00819,0.05267,0.117,AUT,97,European Tour
