"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Player_Avg_OWGR_Pts","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
1,2,"Jason Day","9771",-2.31265604293561,0.513443995382578,2.82847188041028,3,-2,-2.22169936331929,-0.0909566796163177,62.6177037150762,277,-0.73440400239003,0.385101912829972,10.78,1,"AUS",70,"PGA Tour","PGA Tour",-2.64049307617572,0.41989411752134,2.86016032485543e-23,2.83929302114844,2.78147954187645,2016-03-21
2,3,"Rory McIlroy","10091",-2.26502482279563,0.491322705283724,2.85949692116174,1,1,-2.33318861393402,0.0681637911383928,76.0107429227203,332,-0.535475295820135,0.392673000672722,9.2778,1,"NIR",78,"PGA Tour","PGA Tour",-2.54706076133536,0.413170463615689,5.44853520659373e-23,2.9182939406916,2.81697082721958,2016-03-21
3,1,"Jordan Spieth","14636",-2.26120459353456,0.474264816735941,2.86902027077601,2,1,-2.28970168862123,0.0284970950866748,91.4983714703973,348,-0.528063191405416,0.400540317218808,11.0874,1,"USA",100,"PGA Tour","PGA Tour",-2.50201725305815,0.407361629250981,4.02935446998048e-23,2.92953145551756,2.82954946903744,2016-03-21
4,7,"Henrik Stenson","5994",-2.03964167588659,0.475020622771154,2.72655180646725,5,-1,-1.99503636879184,-0.0446053070947481,89.074209369048,397,-0.5406095218868,0.389419204350888,7.3079,1,"SWE",96,"PGA Tour","PGA Tour",-2.27155379674561,0.408435171021104,1.24310042901676e-20,2.60074635562188,2.68485384356243,2016-03-21
5,4,"Bubba Watson","7334",-2.02957852430042,0.488186362817518,2.70925870006978,4,1,-2.05851796374847,0.0289394394480538,79.1969814961521,329,-0.600137243667597,0.400463928488189,8.9366,1,"USA",86,"PGA Tour","PGA Tour",-2.28426026427859,0.411665957901559,1.848514734126e-20,2.54135816936142,2.66491215222244,2016-03-21
6,8,"Justin Rose","6093",-1.97598559959535,0.477711082311813,2.7782516308587,6,0,-1.97486404508171,-0.00112155451363671,87.4197446069645,368,-0.600030272847941,0.395623281911589,6.134,1,"ENG",98,"PGA Tour","PGA Tour",-2.20585677556852,0.408846343726006,6.07925912379599e-20,2.7196047137968,2.7368730782054,2016-03-21
7,5,"Rickie Fowler","12965",-1.89193044887399,0.481017182566805,2.76244269070535,7,0,-1.92204312858894,0.0301126797149462,83.4788250542403,357,-0.671539539576837,0.38964873924777,8.0936,1,"USA",94,"PGA Tour","PGA Tour",-2.1226893964038,0.410122268592836,5.02644390445934e-19,2.67924558794514,2.72024118223126,2016-03-21
8,16,"Jim Furyk","2881",-1.83482955312625,0.535925366641539,2.70362779419347,8,0,-1.87024169788318,0.0354121447569278,46.0609680821768,300,-0.643372846973826,0.246956725852396,4.1268,1,"USA",48,"PGA Tour","PGA Tour",-2.22155183468431,0.433362005010985,4.63936700647091e-18,2.40025652284854,2.64997872650434,2016-03-21
9,6,"Adam Scott","6430",-1.82523734358333,0.493898864493927,2.80262601355361,9,0,-1.82517132057403,-6.60230092994762e-05,76.1993490230336,322,-0.382000890089408,0.408964973028181,7.4377,1,"AUS",82,"PGA Tour","PGA Tour",-2.08604138318437,0.412982446311877,1.93144794540067e-18,2.77198956520925,2.75876357876115,2016-03-21
10,14,"Sergio Garcia","5689",-1.74667062249308,0.487367465526672,2.73980524988981,11,-1,-1.76773231676651,0.0210616942734272,76.1972212559052,343,-0.348659494224692,0.371879678052687,4.4889,1,"ESP",80,"PGA Tour","PGA Tour",-2.00123035426603,0.413088516315595,1.19242821369619e-17,2.61477541279496,2.69610937479729,2016-03-21
