"Rank","Player","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev"
1,"Lee Westwood","4052",-2.32371357747757,0.673473221098529,2.78105394682067,76.0903656724703,347,-0.44025041613487,0.391464456408688,1,"ENG",66,"European Tour","European Tour",-2.61360049835868,0.641836641463805,6.59848156006958e-22,2.62010307085224,2.69827627858787
2,"Luke Donald","4163",-2.2583538008602,0.671114987946056,2.74317182517504,82.2776051405795,314,-0.813489567132765,0.413746336103547,1,"ENG",88,"PGA Tour","PGA Tour",-2.51038552579713,0.640269688049985,2.49222265450075e-21,2.53375398869645,2.65981133454768
3,"Tiger Woods","5321",-2.25065630810607,0.714179672512094,2.89123092297924,47.0638585091446,196,-0.864163497885083,0.368368450349554,1,"USA",60,"PGA Tour","PGA Tour",-2.66181767352768,0.653666692051207,1.74138116601941e-21,2.92780758757832,2.80163588736329
4,"Steve Stricker","4818",-2.24564471039815,0.676872280715675,2.72049032784014,73.7597853923472,306,-0.942083071936766,0.403461062994287,1,"USA",80,"PGA Tour","PGA Tour",-2.51564601130683,0.642373918588783,3.10230932652606e-21,2.45554953764246,2.63494051915229
5,"Matt Kuchar","6169",-2.0397870357101,0.666442486371845,2.64935092843316,91.5652358214513,355,-0.836591942365782,0.425169687991077,1,"USA",100,"PGA Tour","PGA Tour",-2.25611516175379,0.638379592335646,8.09770994272147e-20,2.33075623767136,2.56415965851352
6,"Rory McIlroy","10091",-2.01893207779435,0.666947329735195,3.01039146630095,84.0346744776171,352,-0.552476607164209,0.386372350489875,1,"NIR",94,"European Tour","European Tour",-2.26099884923533,0.640008910593364,9.34617508586092e-20,3.18954629235444,2.93558138019314
7,"Phil Mickelson","1547",-1.88731739127864,0.670635208574714,2.83844765582189,83.1950946094114,337,-0.828077045272493,0.415700846278286,1,"USA",88,"PGA Tour","PGA Tour",-2.11306519093665,0.640009487665617,7.64020474340469e-19,2.76926111760673,2.75808511686292
8,"Nick Watney","7955",-1.76058397615485,0.666776784121835,2.88541101032343,84.7021802247235,365,-0.831436766562255,0.390240867119681,1,"USA",88,"PGA Tour","PGA Tour",-1.97350392282087,0.639690081723738,5.08692081757091e-18,2.88512639685714,2.80731284659402
9,"Hunter Mahan","7636",-1.73060689761624,0.666252911349371,2.73090014887841,92.0085391342715,359,-0.852073095079429,0.425671496702655,1,"USA",100,"PGA Tour","PGA Tour",-1.92703850127919,0.638305187459488,8.15562243933699e-18,2.5213693616934,2.64838114350306
10,"Martin Kaymer","8117",-1.68568825661392,0.669571816035911,2.6730059196994,84.0953351416393,352,-0.473598439175294,0.409874466506363,1,"GER",88,"European Tour","European Tour",-1.91211769812183,0.640071139134283,1.22716631156266e-17,2.36595808591167,2.58778558422417
11,"Graeme McDowell","7548",-1.66448961721715,0.665397208646962,2.89811360171468,86.3584624927347,377,-0.491714653176293,0.38556269996521,1,"NIR",90,"European Tour","European Tour",-1.88212613910419,0.639570740775677,1.73714865956465e-17,2.91483195140721,2.82069300051751
