"Rank","Player","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev"
1,"Jason Day","9771",-2.52764884821041,0.490247869830182,2.83331495902293,1,0,-2.53963893773751,0.0119900895271048,62.811385306806,276,-0.870430816070291,0.376849285607221,1,"AUS",72,"PGA Tour","PGA Tour",-2.86305399883764,0.389419923603528,4.62540869079538e-28,2.86487396956248,2.79057891541344
2,"Rory McIlroy","10091",-2.42444089591455,0.46679720310636,2.83519847783612,2,0,-2.4543773807047,0.0299364847901469,75.7042580776705,330,-0.679397888032569,0.382751703959637,1,"NIR",70,"PGA Tour","PGA Tour",-2.71048768431411,0.381609900352429,3.16359337010434e-27,2.86715406737041,2.79650688894134
3,"Jordan Spieth","14636",-2.42019925638123,0.450293533117473,2.8254618258569,3,0,-2.3902093822213,-0.0299898741599272,92.2859585076621,324,-0.695557591355712,0.410265574076928,1,"USA",96,"PGA Tour","PGA Tour",-2.66232146331915,0.374106966557429,1.20769686831447e-27,2.83838381502201,2.78934943372235
4,"Henrik Stenson","5994",-2.11768192819432,0.447848286268814,2.77092045083761,5,-1,-2.06863493574427,-0.049046992450053,95.5692067690539,393,-0.692996350445545,0.413464320387405,1,"SWE",94,"PGA Tour","PGA Tour",-2.33575089215677,0.373377369518417,9.92302761655972e-24,2.71582515046751,2.73448935952514
5,"Justin Rose","6093",-2.07994519911511,0.450557704320542,2.78990504836693,4,1,-2.12494858922849,0.0450033901133784,95.8803056859936,370,-0.720321234396653,0.430233417261108,1,"ENG",98,"PGA Tour","PGA Tour",-2.29524960367255,0.373189282532658,2.81828049354253e-23,2.75722093193949,2.75328311911083
6,"Bubba Watson","7334",-2.07623206927994,0.464800280724031,2.69330698456433,8,-2,-1.93941707044347,-0.136814998836472,80.4126633745079,326,-0.757669303368238,0.410051130221468,1,"USA",83,"PGA Tour","PGA Tour",-2.32402068008879,0.379088069898104,6.19415837600382e-23,2.51402809514157,2.65289713561267
7,"Jim Furyk","2881",-2.0578562967581,0.481435611727656,2.67020077593318,6,1,-2.0645512631008,0.00669496634270272,62.6277380914903,314,-0.783300342012286,0.330358585112027,1,"USA",64,"PGA Tour","PGA Tour",-2.36050812921745,0.389260134462874,3.12796193592406e-22,2.39955593832758,2.62644092557867
8,"Dustin Johnson","12422",-1.82597058333976,0.481165814789056,2.91849624418743,7,1,-2.02865681342902,0.202686230089264,71.349631769157,296,-0.825712094757261,0.419811541167761,1,"USA",82,"PGA Tour","PGA Tour",-2.08157848872459,0.383845706555989,8.52021480462188e-20,3.08576702158716,2.87855862994217
9,"Sergio Garcia","5689",-1.79905688091976,0.459394393479679,2.71302385706925,10,-1,-1.81527393099342,0.0162170500736611,82.0620442380432,352,-0.493240471844029,0.392725333311931,1,"ESP",84,"PGA Tour","PGA Tour",-2.03563885587341,0.378488636418624,7.9501309858219e-20,2.5671266684691,2.6738465251892
10,"Rickie Fowler","12965",-1.75627726275488,0.455132111639567,2.7914257470421,12,-2,-1.72350115548099,-0.0327761072738948,86.968241142099,358,-0.804705858065555,0.403582192667864,1,"USA",92,"PGA Tour","PGA Tour",-1.96563542358435,0.376284816607947,2.67828800336802e-19,2.75945644415098,2.75407197839927
11,"Hideki Matsuyama","13562",-1.73269001674968,0.453949522303571,2.64811597217983,9,2,-1.86321083985565,0.130520823105969,93.5146439318318,307,-0.650042167728442,0.436312942732346,1,"JPN",95,"PGA Tour","PGA Tour",-1.9355782578623,0.373835193920432,3.2571343452443e-19,2.43541967909481,2.60891702307955
12,"Matt Kuchar","6169",-1.72032644477886,0.443409055384647,2.60751081566135,11,1,-1.7469508569434,0.0266244121645427,99.2405142151941,399,-0.691383825423215,0.410306829383383,1,"USA",106,"PGA Tour","PGA Tour",-1.90909263472147,0.371640446693429,3.84639401844666e-19,2.36040818758975,2.56953323842946
13,"Zach Johnson","6986",-1.60129215425663,0.451590883469059,2.69515015050671,13,0,-1.58929584101712,-0.0119963132395136,85.9850876494795,379,-0.837752399882916,0.378783305458587,1,"USA",92,"PGA Tour","PGA Tour",-1.80100621917892,0.37646992057749,1.34818700117482e-17,2.53272837558473,2.65704723475966
14,"Patrick Reed","14838",-1.56887556005425,0.447304357263085,2.71739816209067,14,0,-1.53647508174005,-0.0324004783142038,106.74805466616,344,-0.727926755849415,0.465867754548701,1,"USA",120,"PGA Tour","PGA Tour",-1.73867959295856,0.369589131047074,1.46559456223726e-17,2.60527533604345,2.68033049889509
15,"Adam Scott","6430",-1.55468375127217,0.470454213225961,2.80307240499662,21,-6,-1.32098040998674,-0.233703341285434,78.0970958010569,310,-0.384718515637255,0.4214323679282,1,"AUS",72,"PGA Tour","PGA Tour",-1.79281409879344,0.380365392655733,3.44210449421806e-17,2.78291181892215,2.76331101052912
16,"Kevin Na","7452",-1.52600686970095,0.457371081286752,2.71063970738011,15,1,-1.45468544214687,-0.0713214275540799,90.2998803857588,330,-0.731511586802772,0.437328919466082,1,"USA",103,"PGA Tour","PGA Tour",-1.7192160023199,0.374691386766389,6.18028248987788e-17,2.57215178221744,2.67177456332459
17,"Paul Casey","7108",-1.48023201690382,0.454854136220293,2.69554265697599,16,1,-1.44815821374281,-0.0320738031610095,88.6655158892826,346,-0.627167972796819,0.413011657901846,1,"ENG",91,"PGA Tour","European Tour",-1.67747252900454,0.375556091731739,1.85144971635656e-16,2.53612263487574,2.65688876890631
18,"Justin Thomas","14139",-1.41108680826619,0.463522904775221,2.72699879484716,19,-1,-1.41680376574323,0.00571695747704082,91.4910438541618,233,-0.419136312084966,0.477586777663034,1,"USA",106,"PGA Tour","PGA Tour",-1.61075324508669,0.373992004594131,6.09729939247346e-16,2.60852581551625,2.68731630885659
19,"Danny Willett","12920",-1.3884275000277,0.457394853470019,2.7600883224831,17,2,-1.43813569462476,0.0497081945970639,89.8731262306358,347,-0.297170039823033,0.430599790891598,1,"ENG",88,"European Tour","European Tour",-1.59290134694932,0.375959425472341,1.26916713015848e-15,2.6860014958399,2.72192532886681
20,"Branden Grace","11952",-1.35068216987413,0.448098002189873,2.79098700280261,20,0,-1.37957156269396,0.0288893928198319,96.7801139497752,395,-0.309344544231464,0.420807243616457,1,"RSA",104,"European Tour","European Tour",-1.53903865913029,0.373084759881252,2.47644039578728e-15,2.76046138790772,2.75478068641526
21,"Phil Mickelson","1547",-1.31277890264438,0.479245276864459,2.74911888757748,22,-1,-1.32026537087583,0.00748646823145394,65.6320622875446,319,-0.741562940275218,0.353339375089989,1,"USA",74,"PGA Tour","PGA Tour",-1.55311778320878,0.387156558733054,1.809428284112e-14,2.63172162031194,2.70702394201424
22,"Keegan Bradley","13872",-1.29361901095921,0.452294116471768,2.73727550397857,23,-1,-1.2801409860897,-0.0134780248695079,87.0179460126868,381,-0.732600810386784,0.389727627534902,1,"USA",94,"PGA Tour","PGA Tour",-1.47764730066939,0.375960411267049,1.46020834021005e-14,2.63310787874151,2.69964946185355
23,"Brooks Koepka","16243",-1.28453419358795,0.453735682165526,2.81747492268055,26,-3,-1.24068320813651,-0.0438509854514446,92.2016143624899,315,-0.523427406453573,0.428352136388275,1,"USA",92,"PGA Tour","PGA Tour",-1.46839215983978,0.374151242548289,1.32466858144779e-14,2.81898962408553,2.780699349204
24,"Russell Knox","13831",-1.28163675871778,0.444860292839998,2.71959440593385,18,6,-1.4338676667351,0.152230908017316,98.3021857065932,390,-0.535322683318584,0.41426633251867,1,"SCO",103,"PGA Tour","PGA Tour",-1.45390862879112,0.371771200382327,1.22141714806998e-14,2.60454000402253,2.68296348328504
25,"Bill Haas","7900",-1.27758550660458,0.452090993410089,2.62424007913115,30,-5,-1.21387400162623,-0.0637115049783494,86.586172674732,372,-0.817020302582557,0.385727375767637,1,"USA",86,"PGA Tour","PGA Tour",-1.45782931636516,0.376158566529295,2.27163813615268e-14,2.3658652896052,2.58500478270268
26,"Francesco Molinari","7655",-1.25205709373808,0.448930911631335,2.67952106554496,25,1,-1.26374485436372,0.011687760625644,86.3616675245189,385,-0.352258540113208,0.364663916921063,1,"ITA",88,"European Tour","European Tour",-1.44999849885789,0.376788841787949,2.94572887685733e-14,2.49736106493435,2.64164611128763
27,"Ryan Palmer","7820",-1.22563309371343,0.46010578896274,2.75271650661426,27,0,-1.23099552092333,0.00536242720989955,78.1381354873301,348,-0.634877195986592,0.369547371238851,1,"USA",83,"PGA Tour","PGA Tour",-1.42877189524792,0.379675612729218,7.04735311935478e-14,2.66099633857306,2.71399167809144
28,"Louis Oosthuizen","7672",-1.21847799740869,0.475535281097149,2.73514677356239,29,-1,-1.2202742119129,0.00179621450420564,76.2137511182898,313,-0.627583882730816,0.43269677765224,1,"RSA",78,"PGA Tour","PGA Tour",-1.42820149067842,0.381317486872467,9.10670120850456e-14,2.60822391663154,2.69349105611298
29,"Ryan Moore","7489",-1.17064226944974,0.466343270625721,2.81711530849704,31,-2,-1.17308192861785,0.00243965916810929,75.6577332993334,336,-0.720763459584252,0.38187449555956,1,"USA",78,"PGA Tour","PGA Tour",-1.37294294458586,0.381131790981156,2.63394805738306e-13,2.82118535357742,2.77824811982488
30,"Charl Schwartzel","7398",-1.16898327307714,0.440279011835344,2.7400014247392,40,-10,-1.05376794548262,-0.11521532759452,105.086838192088,416,-0.381886134942018,0.418993345270005,1,"RSA",108,"European Tour","PGA Tour",-1.33132986967884,0.370301104408395,1.231180722501e-13,2.65449176821869,2.70439682726299
31,"Kevin Kisner","11328",-1.16723748116274,0.452418816678664,2.81891317777227,24,7,-1.2642297153976,0.0969922342348628,93.4948644681266,346,-0.562379340461612,0.429906510639805,1,"USA",107,"PGA Tour","PGA Tour",-1.34025401572106,0.373353485440768,1.62289654908063e-13,2.82218792073221,2.78237106046862
32,"J.B. Holmes","7959",-1.16050883853705,0.478330522247222,2.87008338989684,34,-2,-1.10868745210508,-0.0518213864319659,71.6439474386638,281,-0.807805069554926,0.408681277509526,1,"USA",81,"PGA Tour","PGA Tour",-1.369354407991,0.38347911269829,3.93485355721409e-13,2.95826485657499,2.82994321081686
33,"Robert Streb","14852",-1.15365351705607,0.449386904582898,2.73664841692163,36,-3,-1.10113494433827,-0.0525185727177961,97.9800653013828,368,-0.643208677656812,0.43710496990117,1,"USA",108,"PGA Tour","PGA Tour",-1.31536422422245,0.371930603224128,2.16846894612689e-13,2.64022601497572,2.69949920685839
34,"Jason Bohn","6462",-1.12910917547375,0.457742945321262,2.78802248462811,33,1,-1.13154406721691,0.00243489174316269,86.2592026991372,338,-0.529713610509182,0.415541438752654,1,"USA",93,"PGA Tour","PGA Tour",-1.31421058277472,0.375929439454586,3.9620157511425e-13,2.75044149702013,2.75018922454447
35,"Bernd Wiesberger","9531",-1.1165922849094,0.446677484193054,2.85524091025099,28,7,-1.22268973161489,0.106097446705491,99.3366496724636,394,-0.181801719911641,0.424124851543333,1,"AUT",104,"European Tour","European Tour",-1.29289840462695,0.372744235633236,3.82289638054739e-13,2.90122114681936,2.82008508394443
36,"Marc Leishman","7649",-1.10912640612777,0.464185119515495,2.81093886110438,39,-3,-1.06448103071272,-0.0446453754150544,75.7160141940054,353,-0.54860233774159,0.370666328669339,1,"AUS",76,"PGA Tour","PGA Tour",-1.31478043951344,0.381160446784556,8.14129354742031e-13,2.80628907864291,2.77234728266269
37,"Brendan Steele","11019",-1.10229955372346,0.45926406963736,2.81216860364835,35,2,-1.10569195227313,0.00339239854967444,80.3894263248479,346,-0.561322663126337,0.382549082258629,1,"USA",86,"PGA Tour","PGA Tour",-1.29594732891719,0.378544132412,8.15755328033255e-13,2.80933724350708,2.77441322979935
38,"Jimmy Walker","7293",-1.10056856217621,0.45039348270744,2.88246384991945,38,0,-1.06540281787975,-0.0351657442964608,86.8355140263692,393,-0.759552092536009,0.37742553405933,1,"USA",88,"PGA Tour","PGA Tour",-1.2720618575133,0.376211226296104,9.37513156670778e-13,2.97559783299587,2.84705875542236
39,"Ian Poulter","1435",-1.07437764078295,0.459546204207148,2.77913778538045,37,2,-1.0879979596517,0.013620318868752,87.2071415033435,348,-0.567755611749053,0.428373175415988,1,"ENG",91,"PGA Tour","PGA Tour",-1.25293078765976,0.376284944132707,1.36910319607351e-12,2.72885386043427,2.7408801718295
40,"Emiliano Grillo","12808",-1.05993714536922,0.448356172062357,2.74476648988071,45,-5,-1.04142659068558,-0.018510554683635,100.818951781604,361,-0.011201120193635,0.442165112500237,1,"ARG",108,"European Tour","European Tour",-1.23872236236202,0.371894051422647,9.84813670719331e-13,2.65987725379165,2.70789952305208
41,"Luke Donald","4163",-1.04339925116542,0.452137985731,2.69064414748789,43,-2,-1.042450323582,-0.000948927583416914,91.7405506184589,366,-0.573212762082584,0.417245510429336,1,"ENG",98,"PGA Tour","PGA Tour",-1.21132248138435,0.374276336227881,2.31589933728822e-12,2.53001734058038,2.65238330002848
42,"Graeme McDowell","7548",-1.03186884354675,0.460524800890418,2.72486102399115,46,-4,-1.02075987218401,-0.0111089713627404,85.425911930868,340,-0.422240717361391,0.421971921414792,1,"NIR",86,"European Tour","PGA Tour",-1.21759507883107,0.377026752400767,2.96284222964483e-12,2.59905226132551,2.68566276882094
43,"Tony Finau","11676",-1.01861936886884,0.462776684898157,2.77821105726913,47,-4,-1.01721571475064,-0.0014036541182032,90.9978224138753,238,-0.295253007309079,0.470870061865775,1,"USA",104,"PGA Tour","PGA Tour",-1.20021060771491,0.374170726775576,2.822542273399e-12,2.72599666191613,2.73939672531146
44,"Steve Stricker","4818",-1.01450565865015,0.593216490954222,2.7163645885791,41,3,-1.05297145560274,0.038465796952589,35.0538498925138,201,-0.759309336825559,0.308570003676062,1,"USA",32,"PGA Tour","PGA Tour",-1.41874566582494,0.424587182025315,2.53339529421208e-11,2.32534989088915,2.65079813885299
45,"Harris English","14577",-1.00892178738183,0.446577086936953,2.66465063686076,44,1,-1.04160860367624,0.0326868162944098,94.9491848752437,401,-0.63654954438382,0.40640546589969,1,"USA",104,"PGA Tour","PGA Tour",-1.16665436538598,0.372788323737787,4.44742538943648e-12,2.47794263537587,2.62696248963425
46,"Brandt Snedeker","8820",-0.995259027103312,0.454593225656688,2.91748065337261,32,14,-1.14386204937927,0.148603022275958,85.7455391970797,355,-0.658375342132466,0.394406553141757,1,"USA",93,"PGA Tour","PGA Tour",-1.16711989381626,0.376353921020473,6.99110541923449e-12,3.05867571733835,2.88184634600641
47,"Daniel Summerhays","12424",-0.980582644234093,0.447309104647905,2.72439224998813,53,-6,-0.966494382980238,-0.0140882612538548,91.9546340349988,379,-0.580034124018723,0.394190788396747,1,"USA",97,"PGA Tour","PGA Tour",-1.1436839244131,0.373693232985485,7.70388177172197e-12,2.60915701066894,2.68742026796973
48,"Patton Kizzire","13470",-0.976885989894162,0.543407308231285,2.82027288327202,52,-4,-0.967952967345312,-0.00893302254884998,64.8185692814582,104,0.347245728907482,0.654085431579572,0,"USA",96,"Web.com Tour","Web.com Tour",-1.26878606474663,0.388283367251899,4.88169153161079e-12,2.79834339714621,2.76742617489253
49,"Chris Wood","12451",-0.970664709993418,0.47196071515301,2.73384758995105,69,-20,-0.862799299657194,-0.107865410336224,80.8642604315205,319,-0.0600307199720539,0.446479713617583,1,"ENG",78,"European Tour","European Tour",-1.17991850023643,0.380039696901281,8.79229820905592e-12,2.61145555252936,2.69280072200551
50,"Shane Lowry","13900",-0.970334144537997,0.461876415874195,2.78619630173656,59,-9,-0.915160340176652,-0.0551738043613454,84.5400509885137,336,-0.360189262997292,0.421020516632539,1,"IRL",78,"European Tour","European Tour",-1.15677403972366,0.377973487683914,1.03837753221064e-11,2.74444447918061,2.74764626694735
