"Rank","Player","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Date"
1,"Jordan Spieth","14636",-2.53908929500113,0.453546872447503,2.82630571641025,1,0,-2.53932951684266,0.000240221841526722,85.6708132047437,328,-0.726568882424432,0.380306419150017,1,"USA",100,"PGA Tour","PGA Tour",-2.80039620719478,0.378347393201805,1.09689193380957e-28,2.84293793917187,2.78967726396914,2016-01-21
2,"Jason Day","9771",-2.45242509815856,0.49484246391952,2.83413304549678,2,0,-2.45362059289143,0.00119549473286718,59.5609871055471,280,-0.897779732040131,0.358348757257868,1,"AUS",68,"PGA Tour","PGA Tour",-2.79572053798953,0.392326329495494,9.73294209212318e-27,2.86898640301668,2.79059869122719,2016-01-21
3,"Rory McIlroy","10091",-2.40975829559582,0.474752216452284,2.83326196895073,3,0,-2.41085701180051,0.00109871620469315,67.0090201601604,326,-0.691824273565679,0.339928490049129,1,"NIR",66,"PGA Tour","PGA Tour",-2.7232546595211,0.387500621989733,1.73551301937557e-26,2.8673477703054,2.79320312860992,2016-01-21
4,"Henrik Stenson","5994",-2.10906966621041,0.452486450985633,2.77338568706287,4,0,-2.10963216483239,0.000562498621982765,84.6592536615826,393,-0.704622887519494,0.366264217974295,1,"SWE",92,"PGA Tour","PGA Tour",-2.34708178263965,0.379107597734662,4.42158131456205e-23,2.71751190096567,2.73622443905459,2016-01-21
5,"Justin Rose","6093",-2.07123398665747,0.454793249153782,2.79029785824134,5,0,-2.07202409809385,0.000790111436383523,84.9348382668487,370,-0.731282849204922,0.381118994673835,1,"ENG",94,"PGA Tour","PGA Tour",-2.30618448928951,0.378919822555662,1.23149033810863e-22,2.75702612669308,2.75298478714111,2016-01-21
6,"Jim Furyk","2881",-2.03679656127909,0.492815369946128,2.68109801936434,6,0,-2.0392050354629,0.00240847418380907,55.4783046190928,314,-0.794003972756228,0.2926456355745,1,"USA",64,"PGA Tour","PGA Tour",-2.371155137807,0.395245015592414,1.28558010679231e-21,2.39789807429593,2.63541639984733,2016-01-21
7,"Bubba Watson","7334",-1.99321568273827,0.466154371315047,2.69037252789082,7,0,-1.99401752620175,0.000801843463481999,78.7111458308873,330,-0.718924500652676,0.398908240557322,1,"USA",83,"PGA Tour","PGA Tour",-2.24145179770687,0.381312314542552,1.18050164807332e-21,2.50310879329773,2.64968006388196,2016-01-21
8,"Sergio Garcia","5689",-1.81593233244112,0.463726584070761,2.70633786635244,8,0,-1.81647351861582,0.000541186174701336,76.2025976778054,348,-0.450017127465213,0.365687482821937,1,"ESP",84,"PGA Tour","PGA Tour",-2.06997723523779,0.382600033407996,1.09190227911589e-19,2.54001675120058,2.66631249145315,2016-01-21
9,"Dustin Johnson","12422",-1.80349793372544,0.484736167430678,2.8940476625228,9,0,-1.80387869880094,0.000380765075497225,67.1245276801597,300,-0.854655703272345,0.393537374940017,1,"USA",86,"PGA Tour","PGA Tour",-2.06951340215123,0.387303352848525,3.02140738100503e-19,3.02990704321271,2.85316363374734,2016-01-21
10,"Rickie Fowler","12965",-1.79967010296708,0.458686181934173,2.76946202179308,10,0,-1.79975638631907,8.628335198968e-05,80.9601537928715,362,-0.831183234383135,0.375398816580042,1,"USA",92,"PGA Tour","PGA Tour",-2.02333825871921,0.380373336691708,2.06203749440632e-19,2.7045280458153,2.7312134439946,2016-01-21
