"Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Event_Date"
1,"Jordan Spieth","14636",-2.4290614396397,0.460574222285311,2.80195349294548,1,0,-2.53908929500113,0.110027855361434,88.3942840217991,336,-0.539683625822692,0.390695505496615,1,"USA",102,"PGA Tour","PGA Tour",-2.68569403467835,0.388404519605303,6.24922915340115e-27,2.78184702818646,2.76384058194311,2016-02-09
2,"Rory McIlroy","10091",-2.335346591967,0.479727947158744,2.80561429819415,3,-1,-2.40975829559582,0.0744117036288241,70.8524711709795,330,-0.533257902365224,0.363065108378437,1,"NIR",70,"PGA Tour","PGA Tour",-2.63773617419495,0.396072348433161,2.09588649857809e-25,2.78749985497775,2.76429605631277,2016-02-09
3,"Jason Day","9771",-2.24072976963345,0.504699309480461,2.83959836562107,2,1,-2.45242509815856,0.21169532852511,57.945591576674,277,-0.776868523664675,0.351048244147385,1,"AUS",66,"PGA Tour","PGA Tour",-2.58204457530412,0.403908266357842,7.0508763734996e-24,2.88247769138267,2.7943867815762,2016-02-09
4,"Henrik Stenson","5994",-2.06064524971844,0.459873209013081,2.75998937854431,4,0,-2.10906966621041,0.048424416491966,87.4641431842052,397,-0.556979919118184,0.37938760857693,1,"SWE",92,"PGA Tour","PGA Tour",-2.29609134218353,0.389109690195918,2.37387049153516e-22,2.68381304831219,2.72140735673831,2016-02-09
5,"Justin Rose","6093",-1.92049388903794,0.464430135497781,2.78561832453155,5,0,-2.07123398665747,0.150740097619527,81.8425077664497,368,-0.620967770689549,0.36827597102652,1,"ENG",90,"PGA Tour","PGA Tour",-2.15800151597188,0.391050574494115,1.13125123184979e-20,2.74189369717257,2.74662958900677,2016-02-09
6,"Jim Furyk","2881",-1.91026049989422,0.506472294231585,2.68872765058871,6,0,-2.03679656127909,0.126536061384873,52.2157364810532,314,-0.682237453018532,0.275435731037635,1,"USA",64,"PGA Tour","PGA Tour",-2.25890085868006,0.408370959668621,4.53119191520646e-20,2.39964144379548,2.64059504548048,2016-02-09
7,"Bubba Watson","7334",-1.89630488163835,0.474662572196246,2.69067826271019,7,0,-1.99321568273827,0.0969108010999198,77.9661625907705,326,-0.614619553022224,0.39671887161878,1,"USA",83,"PGA Tour","PGA Tour",-2.14500246050747,0.392461443624004,2.11568206065198e-20,2.49873748410408,2.64847974430184,2016-02-09
8,"Rickie Fowler","12965",-1.83927651203007,0.464899251480345,2.75482201568534,10,-2,-1.79967010296708,-0.0396064090629853,85.8845108925262,364,-0.692603255695458,0.398681147243898,1,"USA",94,"PGA Tour","PGA Tour",-2.06068310083818,0.38938988864282,8.02763189146109e-20,2.66886182483233,2.71531085220047,2016-02-09
9,"Sergio Garcia","5689",-1.70795661775531,0.472523279312724,2.70436898472255,8,1,-1.81593233244112,0.107975714685813,75.539801048598,345,-0.326914599785802,0.364937329926327,1,"ESP",82,"PGA Tour","PGA Tour",-1.96249261353457,0.393752476037184,1.91014523611634e-18,2.52996804269915,2.66276798764684,2016-02-09
10,"Dustin Johnson","12422",-1.69126053126596,0.492568105980361,2.89746848883279,9,1,-1.80349793372544,0.112237402459484,66.9809302802508,296,-0.731893206940926,0.394306056174046,1,"USA",88,"PGA Tour","PGA Tour",-1.95585102354385,0.397968052582461,5.01785978100349e-18,3.03607228603983,2.8552933833058,2016-02-09
11,"Hideki Matsuyama","13562",-1.67899531575612,0.465839865677884,2.68492893628849,12,-1,-1.72387481680524,0.0448795010491168,83.9000219928872,311,-0.543158750450116,0.391104107843847,1,"JPN",88,"PGA Tour","PGA Tour",-1.90132794992418,0.390062864215852,3.6709717922617e-18,2.49920142321385,2.64420812578444,2016-02-09
12,"Matt Kuchar","6169",-1.58422850737807,0.455594218720709,2.64118486119687,11,1,-1.72429671272777,0.140068205349698,90.2329361141014,399,-0.586072597684724,0.374388568051449,1,"USA",98,"PGA Tour","PGA Tour",-1.78436217780691,0.387583833857771,3.1104622959512e-17,2.41245365685886,2.6015940073124,2016-02-09
13,"Kevin Na","7452",-1.51873326390881,0.467751405516029,2.70536158488211,15,-2,-1.52821359642257,0.00948033251375691,86.4386839755568,327,-0.62870209228983,0.419193026476572,1,"USA",103,"PGA Tour","PGA Tour",-1.72316318883728,0.388873697895958,1.49426052715543e-16,2.55102420455671,2.66461815793438,2016-02-09
14,"Patrick Reed","14838",-1.48766497549601,0.456994480951772,2.70632363691601,13,1,-1.63334283684723,0.145677861351219,96.5320243296574,352,-0.639135467508074,0.416197186390248,1,"USA",116,"PGA Tour","PGA Tour",-1.67033075734697,0.385816945738432,2.71300375053145e-16,2.56912923844887,2.66746015379985,2016-02-09
15,"Zach Johnson","6986",-1.43935024170846,0.461605755322297,2.70984378524222,14,1,-1.579190370076,0.13984012836754,85.9137759399976,386,-0.727459786799812,0.38147034482881,1,"USA",92,"PGA Tour","PGA Tour",-1.6343057681687,0.389150300288942,1.0339795253205e-15,2.56347355847138,2.67023846633015,2016-02-09
16,"Branden Grace","11952",-1.383981303292,0.459107661381185,2.78944288113056,19,-3,-1.37101532360735,-0.0129659796846546,91.9029018619516,390,-0.168290653100325,0.400779780202944,1,"RSA",96,"European Tour","European Tour",-1.58795983838176,0.387781983446297,2.16427020758098e-15,2.75315585110789,2.75140177770369,2016-02-09
17,"Adam Scott","6430",-1.37951682784378,0.484577896360637,2.78140088366498,16,1,-1.49977282159427,0.120255993750493,68.8780468529951,314,-0.30037825132139,0.370810292814807,1,"AUS",72,"PGA Tour","PGA Tour",-1.63512293636095,0.396988574340592,3.6495948379971e-15,2.72027071307687,2.73886384072138,2016-02-09
