"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Player_Avg_OWGR_Pts","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
1,1,"Jordan Spieth","14636",-2.32925796515112,0.468216667769199,2.8745848327452,1,0,-2.33784272008537,0.00858475493425148,88.9688517012441,340,-0.540485469507708,0.392060318113662,11.4792,1,"USA",100,"PGA Tour","PGA Tour",-2.57868407513209,0.39881699028427,2.23007634764487e-24,2.94761320625832,2.83619659274032,2016-02-29
2,2,"Jason Day","9771",-2.26319714786127,0.496760182424075,2.82463484130564,3,-1,-2.27336623453288,0.0101690866716115,58.3220446956309,277,-0.753506835553192,0.355558486253188,9.6851,1,"AUS",66,"PGA Tour","PGA Tour",-2.60576900291324,0.39217589432043,1.80561377801475e-25,2.84096675390035,2.78060988056141,2016-02-29
3,3,"Rory McIlroy","10091",-2.2505878883365,0.486403662385047,2.80239112996292,2,1,-2.31207211513687,0.0614842268003692,72.5494461653865,332,-0.536256176628565,0.37352265878334,9.4854,1,"NIR",76,"PGA Tour","PGA Tour",-2.54180123728181,0.40562027348759,3.18441570979634e-23,2.77548011552704,2.75985643150386,2016-02-29
4,6,"Henrik Stenson","5994",-2.03787881846714,0.470135927749895,2.76367797248105,4,0,-2.05486452249556,0.016985704028416,82.2642189708584,393,-0.54691509296352,0.357867978995297,7.2482,1,"SWE",92,"PGA Tour","PGA Tour",-2.28383537639554,0.401583841717555,6.34179284811089e-21,2.68620639162223,2.72339643552232,2016-02-29
5,7,"Justin Rose","6093",-1.99143937742052,0.471226592967024,2.75223243896562,5,0,-2.0036641120355,0.0122247346149797,84.7336310381182,372,-0.611566901362069,0.381713493759534,6.2399,1,"ENG",98,"PGA Tour","PGA Tour",-2.22721862464012,0.400486460395812,1.88769435510089e-20,2.6594638915462,2.71159157989829,2016-02-29
6,4,"Bubba Watson","7334",-1.95524240364003,0.481094085158034,2.70060653418802,6,0,-1.96426787723818,0.00902547359814698,80.1248459695303,329,-0.614000704368867,0.405911912680232,8.1703,1,"USA",86,"PGA Tour","PGA Tour",-2.20231244999106,0.402062435365277,4.72006222767397e-20,2.52451753148882,2.65740928983945,2016-02-29
7,14,"Jim Furyk","2881",-1.89613049670399,0.521457094764437,2.69712752998968,7,0,-1.91035202225083,0.0142215255468374,49.0312180375033,306,-0.687652083989588,0.260990462188293,4.4893,1,"USA",56,"PGA Tour","PGA Tour",-2.26394469517967,0.421586967447471,6.01644973749684e-19,2.40287242835595,2.6462387290923,2016-02-29
8,5,"Rickie Fowler","12965",-1.88633530367732,0.473406417652241,2.78152903216051,8,0,-1.84596397851901,-0.0403713251583058,84.7340823836289,361,-0.691882636097219,0.394522280783328,8.0804,1,"USA",98,"PGA Tour","PGA Tour",-2.11310243838637,0.400387667524841,2.56905923793433e-19,2.72866024094119,2.74094693864684,2016-02-29
9,8,"Dustin Johnson","12422",-1.75767725379212,0.496946106706377,2.85942458520994,9,0,-1.76560339915931,0.00792614536719061,70.6897003197577,296,-0.714169389517681,0.414589978456759,5.9112,1,"USA",88,"PGA Tour","PGA Tour",-2.0158852864647,0.406339205546024,6.99926736895777e-18,2.92313629966955,2.81591078081895,2016-02-29
10,12,"Sergio Garcia","5689",-1.7455722306497,0.479725001158524,2.73439683951552,12,-2,-1.63118034596067,-0.114391884689033,76.9999738969299,347,-0.348476361691744,0.373787725513008,4.5717,1,"ESP",84,"PGA Tour","PGA Tour",-1.99782018574595,0.403559653623282,6.16272432252864e-18,2.60534232173332,2.69198625539135,2016-02-29
11,13,"Hideki Matsuyama","13562",-1.72072372466326,0.473975311806668,2.67254578218581,10,1,-1.73010666048673,0.00938293582347161,82.8860294995295,315,-0.563129286262149,0.385551658679101,4.545,1,"JPN",88,"PGA Tour","PGA Tour",-1.94688883289527,0.401013632136187,1.15571915169739e-17,2.46393675545882,2.63018029071715,2016-02-29
