"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Total_Weight","Rounds_Player","Avg_SoS","Center_Wt","Player_Avg_OWGR_Pts","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
1,1,"Jason Day","9771",-2.34141673571359,0.504197434617189,2.79608148736768,1,0,-2.31575127804384,-0.025665457669747,62.935281795,67.6518339829921,281,-0.757855991153989,0.386604191891875,12.5187,1,"AUS",70,"PGA Tour","PGA Tour",-2.66882817002513,0.407126839040966,5.50282814202318e-25,2.75069734459199,2.75024664910726,2016-04-11
2,2,"Jordan Spieth","14636",-2.31416005345232,0.478510559087787,2.8547506489386,2,0,-2.26597132178169,-0.048188731670626,94.0375352409662,99.4602401278426,356,-0.551407174303582,0.408922858717967,11.7831,1,"USA",100,"PGA Tour","PGA Tour",-2.55221392583644,0.413373253075304,4.80453308984135e-23,2.89306951646546,2.81436119083121,2016-04-11
3,3,"Rory McIlroy","10091",-2.29382689689938,0.496530694292002,2.84332949816425,3,0,-2.26589444297946,-0.0279324539199193,75.482047508429,80.4561248117465,332,-0.565826069774068,0.390576925765793,9.4091,1,"NIR",78,"PGA Tour","PGA Tour",-2.57792026090867,0.419891342375901,1.2016869340119e-22,2.87526667499576,2.79963924546661,2016-04-11
4,6,"Henrik Stenson","5994",-2.0883812028049,0.479803873475461,2.71930501885444,4,0,-2.11123973109038,0.0228585282854805,91.5834622074089,96.9236078846061,393,-0.563555232291884,0.401851083775324,7.6986,1,"SWE",100,"PGA Tour","PGA Tour",-2.31755058729289,0.414356023540928,1.46006335651303e-20,2.58452560319073,2.67664118412702,2016-04-11
5,10,"Justin Rose","6093",-2.0096503387442,0.483446259340555,2.77792603670135,6,-1,-1.97553036828771,-0.0341199704564905,86.1637757406561,91.3505552505035,364,-0.623715966317532,0.391528689486515,6.0597,1,"ENG",98,"PGA Tour","PGA Tour",-2.24320683950554,0.415927382759605,1.06588956343763e-19,2.71622947841536,2.7355351907283,2016-04-11
6,4,"Bubba Watson","7334",-1.96727630920616,0.493671414648179,2.69675794130831,5,1,-2.03112351606885,0.0638472068626932,78.4245768828644,83.4854131466161,325,-0.623301541931324,0.39804773600066,8.4817,1,"USA",90,"PGA Tour","PGA Tour",-2.21893961855582,0.418524874308216,3.02878756189392e-19,2.50628961411278,2.65118689050182,2016-04-11
7,8,"Dustin Johnson","12422",-1.91446399706669,0.505085695146557,2.87006263749582,8,-1,-1.84256904721709,-0.0718949498496031,74.1015135221331,79.1861751615756,304,-0.710444615733468,0.42770020857108,6.8899,1,"USA",90,"PGA Tour","PGA Tour",-2.17340200214913,0.42030466289562,1.13095487641285e-18,2.94208223416917,2.82526954177965,2016-04-11
8,5,"Rickie Fowler","12965",-1.84310431623872,0.485907160260757,2.77911765329601,7,1,-1.92677819035064,0.0836738741119187,84.3734641343565,89.5392421595061,355,-0.671320084849919,0.394858274989637,7.7496,1,"USA",92,"PGA Tour","PGA Tour",-2.06900658960809,0.416422118388509,5.02101477825292e-18,2.71764929251968,2.73630940547097,2016-04-11
9,22,"Jim Furyk","2881",-1.80769220627679,0.5492959160281,2.7118552499828,9,0,-1.8268122602295,0.0191200539527125,43.2372261457381,47.2434484586439,292,-0.639704203369983,0.234160402056972,3.7697,1,"USA",44,"PGA Tour","PGA Tour",-2.21564566388417,0.442262699147958,2.27360092231015e-17,2.40467271245874,2.6556417103017,2016-04-11
10,13,"Hideki Matsuyama","13562",-1.74852886878252,0.485078013797931,2.73529207278819,11,-1,-1.69030597415618,-0.0582228946263432,84.745753254935,89.9094968586535,323,-0.580025928572495,0.392643534293352,4.751,1,"JPN",92,"PGA Tour","PGA Tour",-1.97159477769512,0.416253540089144,3.68922218029079e-17,2.613144288416,2.6919364858755,2016-04-11
