"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Total_Weight","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
1,5,"Henrik Stenson","5994",-2.46580294013877,0.709170896199703,2.83588256114309,3,-2,-2.45433066382061,-0.0114722763181554,72.3549094695515,77.1011485590519,364,-0.532594399830224,0.344479482770925,1,"SWE",72,"European Tour","PGA Tour",-2.76950536618024,0.687338948843222,2.86127481214613e-10,2.7390721862847,2.74577976913277,2017-03-15
2,1,"Dustin Johnson","12422",-2.46557015125867,0.711831514362956,2.8853812183902,1,1,-2.49079214019364,0.0252219889349745,78.3544379962775,83.4888337540234,306,-0.766237065237124,0.417180136707403,1,"USA",88,"PGA Tour","PGA Tour",-2.74474264927034,0.68546609880569,3.2320364843569e-10,2.86400118734136,2.79619753783574,2017-03-15
3,3,"Rory McIlroy","10091",-2.46433489669557,0.71711563230075,2.82504045030501,2,1,-2.48898524786409,0.0246503511685172,63.1296907875008,67.6801305088719,324,-0.603486058025376,0.332787855688071,1,"NIR",68,"Sunshine Tour","PGA Tour",-2.80289048427057,0.690402241412723,2.50799786930283e-10,2.7006431063491,2.73250777048656,2017-03-15
4,6,"Jordan Spieth","14636",-2.30605157915059,0.702376980850422,2.75274279026989,4,0,-2.33243891023307,0.0263873310824816,86.3152970032635,91.4403512936165,398,-0.647779320444378,0.376539118041059,1,"USA",86,"PGA Tour","PGA Tour",-2.55479548759025,0.683542204420607,1.67001782830227e-09,2.54388597933835,2.66162721772872,2017-03-15
5,2,"Jason Day","9771",-2.17268991798869,0.72780981004929,2.84979774170992,5,0,-2.19860835559596,0.0259184376072703,56.5996574494988,61.090056223599,276,-0.720819267303021,0.349966349172289,1,"AUS",65,"PGA Tour","PGA Tour",-2.5189942592903,0.693043845796953,3.7984454682578e-09,2.76604768706595,2.75529309675957,2017-03-15
6,4,"Hideki Matsuyama","13562",-2.01749435204348,0.704031737576059,2.88200404388592,6,0,-2.0505745137858,0.0330801617423222,86.1348275738655,91.3222338413773,379,-0.630620654980602,0.391805803770792,1,"JPN",90,"PGA Tour","PGA Tour",-2.25131624335209,0.683636723042037,2.37391082822017e-08,2.85435401211131,2.79468900263704,2017-03-15
7,26,"Jon Rahm","19195",-1.86326069259667,0.806743087612988,2.75187016285264,7,0,-1.89256766614256,0.0293069735458891,41.9878293991846,46.8674752684432,72,-0.518713142899112,0.657164654139264,1,"ESP",58,"PGA Tour","PGA Tour",-2.32384619768181,0.702450789137111,3.09429050029293e-08,2.30492583562742,2.6309608480149,2017-03-15
8,10,"Sergio Garcia","5689",-1.85247593832755,0.71116157449452,2.75498759572911,8,0,-1.87910815615922,0.0266322178316736,74.6283911506679,79.5570367736652,341,-0.451748180187727,0.38286920057355,1,"ESP",77,"PGA Tour","PGA Tour",-2.11486016908117,0.686536204137538,8.32495819425234e-08,2.5254219690511,2.66161715270693,2017-03-15
9,13,"Justin Rose","6093",-1.82281542155517,0.709713546359491,2.81155642157731,9,0,-1.84968606865864,0.0268706471034661,73.5598482172683,78.3887588487826,348,-0.634430468180636,0.361314130934346,1,"ENG",72,"PGA Tour","PGA Tour",-2.07689765379074,0.686763817669353,1.13985986937506e-07,2.67439802402769,2.72050660609866,2017-03-15
10,9,"Rickie Fowler","12965",-1.74955928790599,0.707005287928664,2.81240766176502,10,0,-1.7757420720376,0.0261827841316131,78.5112576903865,83.4721115957087,357,-0.717213119368452,0.372138709351261,1,"USA",81,"PGA Tour","PGA Tour",-1.98133672640593,0.685424699033569,2.29346068545289e-07,2.68121150398824,2.72209117753162,2017-03-15
