"Rank","OWGR_Rank","Player_Name","Projected_Rating","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Rounds_Last_Year","Recent_Tour"
1,2,"Rory McIlroy",-2.5491661045284,2.83239371214115,3,-2,-2.46433489669557,-0.0848312078328268,68,"PGA Tour"
2,1,"Dustin Johnson",-2.47544232022524,2.88604496121166,2,0,-2.46557015125867,-0.00987216896657017,88,"PGA Tour"
3,5,"Henrik Stenson",-2.39118970644689,2.84613716506325,1,2,-2.46580294013877,0.074613233691883,70,"PGA Tour"
4,6,"Jordan Spieth",-2.31749640239994,2.75481288353078,4,0,-2.30605157915059,-0.0114448232493491,86,"PGA Tour"
5,3,"Jason Day",-2.17236161290358,2.84756606029511,5,0,-2.17268991798869,0.000328305085113278,65,"PGA Tour"
6,4,"Hideki Matsuyama",-1.98583006044526,2.87690176607009,6,0,-2.01749435204348,0.031664291598217,90,"PGA Tour"
7,25,"Jon Rahm",-1.86851075035341,2.75424575257313,7,0,-1.86326069259667,-0.00525005775674359,58,"PGA Tour"
8,13,"Justin Rose",-1.86787780451946,2.78823920174959,9,-1,-1.82281542155517,-0.0450623829642933,72,"PGA Tour"
9,10,"Sergio Garcia",-1.86405460717097,2.75716416154642,8,1,-1.85247593832755,-0.0115786688434198,77,"PGA Tour"
10,9,"Rickie Fowler",-1.80823286025065,2.82037006986858,10,0,-1.74955928790599,-0.0586735723446636,85,"PGA Tour"
11,8,"Adam Scott",-1.74566281826527,2.84774505236549,11,0,-1.73178183390618,-0.0138809843590864,82,"PGA Tour"
12,18,"Phil Mickelson",-1.70345156834994,2.80578905413398,12,0,-1.6932987818084,-0.0101527865415352,82,"PGA Tour"
13,16,"Paul Casey",-1.67250830725673,2.7896575560676,13,0,-1.67952649859111,0.00701819133437631,86,"PGA Tour"
14,20,"Matt Kuchar",-1.65688708941019,2.71728425376634,14,0,-1.64633804735939,-0.010549042050795,101,"PGA Tour"
15,29,"Francesco Molinari",-1.54110504714963,2.76809033888798,16,-1,-1.44438705504183,-0.0967179921078014,86,"PGA Tour"
16,7,"Justin Thomas",-1.5220417698081,2.91021225921992,15,1,-1.5107458198615,-0.0112959499466032,94,"PGA Tour"
17,14,"Tyrrell Hatton",-1.47525006383853,2.76561628868211,20,-3,-1.35454134369283,-0.120708720145702,94,"PGA Tour"
18,23,"Brandt Snedeker",-1.42140674388801,2.79908490814407,17,1,-1.39325534626089,-0.0281513976271217,96,"PGA Tour"
19,47,"Bill Haas",-1.39915439012555,2.69151936115286,18,1,-1.38780139581476,-0.0113529943107946,86,"PGA Tour"
20,11,"Alex Noren",-1.33643980872366,2.775564341602,19,1,-1.3547938810905,0.0183540723668423,84,"European Tour"
21,46,"Martin Kaymer",-1.31606422758245,2.81895760361728,24,-3,-1.26940341025336,-0.0466608173290899,99,"European Tour"
22,17,"Bubba Watson",-1.31426589396627,2.7647603121195,21,1,-1.29072374445222,-0.0235421495140493,78,"PGA Tour"
23,37,"Gary Woodland",-1.30255580766307,2.76143940297998,22,1,-1.29067278270574,-0.011883024957335,95,"PGA Tour"
24,40,"Bernd Wiesberger",-1.29820100414987,2.72218880544306,23,1,-1.28282934413998,-0.0153716600098872,97,"European Tour"
25,12,"Patrick Reed",-1.26040065479335,2.78880180571706,25,0,-1.24727092739884,-0.0131297273945077,120,"PGA Tour"
26,32,"Marc Leishman",-1.25200471675928,2.83472175045763,40,-14,-1.08965381529425,-0.162350901465029,91,"PGA Tour"
27,36,"Ryan Moore",-1.25049899275118,2.77131954279363,27,0,-1.22257896541904,-0.0279200273321354,84,"PGA Tour"
28,35,"J.B. Holmes",-1.2429170863467,2.8306604349065,26,2,-1.23312367845821,-0.00979340788848626,80,"PGA Tour"
29,44,"Adam Hadwin",-1.24062741751755,2.91462019897836,38,-9,-1.12659540306406,-0.114032014453488,95,"PGA Tour"
30,27,"Louis Oosthuizen",-1.23752540897876,2.81196685661454,32,-2,-1.19837752088004,-0.0391478880987235,84,"PGA Tour"
31,26,"Rafael Cabrera Bello",-1.23188238456656,2.71947474822483,29,2,-1.21822290164174,-0.0136594829248191,110,"European Tour"
32,28,"Charl Schwartzel",-1.22377348788693,2.84013628202623,28,4,-1.21885937308624,-0.00491411480068571,86,"PGA Tour"
33,56,"Brendan Steele",-1.21262259484873,2.83324298373611,31,2,-1.20150129717124,-0.0111212976774948,88,"PGA Tour"
34,39,"Daniel Berger",-1.17977710225425,2.7887957319109,34,0,-1.16865392296834,-0.0111231792859134,85,"PGA Tour"
35,24,"Brooks Koepka",-1.17828706961005,2.90094100144832,30,5,-1.20557773462499,0.0272906650149445,76,"PGA Tour"
36,38,"Kevin Kisner",-1.17182615788295,2.88842369285697,45,-9,-1.02798735564438,-0.143838802238567,92,"PGA Tour"
37,57,"Jim Furyk",-1.16650880270878,2.80882774342535,35,2,-1.15840535999881,-0.00810344270997154,73,"PGA Tour"
38,30,"Emiliano Grillo",-1.16574202889605,2.81846088221762,42,-4,-1.06841274946211,-0.097329279433938,109,"PGA Tour"
39,65,"Jason Dufner",-1.15798841064405,2.76711422617873,37,2,-1.14652540198053,-0.0114630086635199,80,"PGA Tour"
40,50,"Zach Johnson",-1.15565396739753,2.75521791234143,33,7,-1.19593514705358,0.0402811796560534,87,"PGA Tour"
41,67,"Charles Howell III",-1.14283793450501,2.742682015513,36,5,-1.15722906383009,0.014391129325082,87,"PGA Tour"
42,19,"Branden Grace",-1.07728256225641,2.74420777919166,39,3,-1.11608299231439,0.0388004300579814,95,"PGA Tour"
43,21,"Russell Knox",-1.07053639083913,2.87653428280715,43,0,-1.0581959376414,-0.0123404531977276,94,"PGA Tour"
44,52,"Kevin Na",-1.05823621118623,2.79261998869478,41,3,-1.07775499344135,0.0195187822551204,90,"PGA Tour"
45,119,"Lucas Glover",-1.04073356070129,2.77590337141945,56,-11,-0.911086204177303,-0.129647356523984,75,"PGA Tour"
46,71,"Tony Finau",-1.02966679065721,2.85098100033781,47,-1,-0.984944312177022,-0.0447224784801845,102,"PGA Tour"
47,62,"Pat Perez",-1.02836527655633,2.88163370255265,52,-5,-0.933266459768266,-0.0950988167880604,40,"PGA Tour"
48,105,"Keegan Bradley",-1.00995786041219,2.74597600119503,48,0,-0.974251939079854,-0.0357059213323366,96,"PGA Tour"
49,59,"Shane Lowry",-1.00311064491515,2.86154399541836,46,3,-0.993107373221169,-0.0100032716939817,70,"PGA Tour"
50,72,"Billy Horschel",-0.980583391978706,2.84606183942603,58,-8,-0.889751367863206,-0.0908320241155003,77,"PGA Tour"
51,110,"Steve Stricker",-0.976513436338526,2.73434256021193,49,2,-0.970222365940693,-0.0062910703978335,47,"PGA Tour"
52,117,"Russell Henley",-0.976181906832616,2.7758932545227,50,2,-0.961277721094762,-0.014904185737854,84,"PGA Tour"
53,64,"Webb Simpson",-0.961211560850803,2.77473361187982,44,9,-1.03026087110796,0.0690493102571567,85,"PGA Tour"
54,66,"Joost Luiten",-0.927967915371121,2.71852316191692,55,-1,-0.912634778217658,-0.0153331371534633,85,"European Tour"
55,51,"Byeong Hun An",-0.927856925633239,2.77979645378085,54,1,-0.919180978876859,-0.00867594675637962,91,"PGA Tour"
56,49,"Lee Westwood",-0.905539260724391,2.95125307016405,57,-1,-0.891967176467453,-0.0135720842569378,83,"European Tour"
57,31,"Matthew Fitzpatrick",-0.88603686567129,2.9053328748491,71,-14,-0.79292469776299,-0.0931121679083001,85,"PGA Tour"
58,108,"Martin Laird",-0.881523098098623,2.81568075685068,60,-2,-0.874253689565409,-0.00726940853321389,76,"PGA Tour"
59,207,"Stewart Cink",-0.881237624767201,2.68493975901562,67,-8,-0.824162742840212,-0.0570748819269895,71,"PGA Tour"
60,22,"Jimmy Walker",-0.867462904708265,3.01795174525156,62,-2,-0.856817914278128,-0.0106449904301369,86,"PGA Tour"
61,90,"Chris Kirk",-0.86509751042896,2.88586289910341,53,8,-0.919844514203607,0.0547470037746468,87,"PGA Tour"
62,94,"Ryan Palmer",-0.862320252754412,2.79154499589381,63,-1,-0.852178786432641,-0.0101414663217714,70,"PGA Tour"
63,33,"Tommy Fleetwood",-0.853671236050266,2.85573424545821,75,-12,-0.74311369126897,-0.110557544781296,93,"European Tour"
64,89,"Harris English",-0.853216746393296,2.76062246386012,51,13,-0.947302897816936,0.0940861514236403,92,"PGA Tour"
65,55,"Chris Wood",-0.847313518389243,2.80015635693974,66,-1,-0.833394035891241,-0.0139194824980017,72,"European Tour"
66,54,"William McGirt",-0.845407381805375,2.78353921520154,61,5,-0.857680953935434,0.0122735721300591,92,"PGA Tour"
67,48,"Charley Hoffman",-0.83443240221638,2.88009543248573,81,-14,-0.671661736255487,-0.162770665960893,95,"PGA Tour"
68,53,"Ross Fisher",-0.834320436938196,2.96054173344245,69,-1,-0.819842016187146,-0.0144784207510499,85,"European Tour"
69,73,"Wesley Bryan",-0.832354716373084,2.89985650918176,59,10,-0.88588812172197,0.0535334053488855,97,"PGA Tour"
70,127,"Chez Reavie",-0.817106609941873,2.8371021752072,65,5,-0.833740950676772,0.0166343407348994,79,"PGA Tour"
71,96,"Brian Harman",-0.803693577066452,2.84267935209946,79,-8,-0.720244759247966,-0.0834488178184858,104,"PGA Tour"
72,82,"Graeme McDowell",-0.799969349897814,2.86467133917366,76,-4,-0.738794708166044,-0.0611746417317699,86,"PGA Tour"
73,43,"Scott Piercy",-0.794378556875677,2.93666281989072,73,0,-0.782007579519278,-0.0123709773563987,94,"PGA Tour"
74,135,"Graham Delaet",-0.787157265499421,2.84082117212801,68,6,-0.822041992026381,0.0348847265269596,71,"PGA Tour"
75,106,"Jason Kokrak",-0.786121584879695,2.79400313998803,72,3,-0.785377856876955,-0.000743728002740363,86,"PGA Tour"
76,77,"Anirban Lahiri",-0.778420517501675,2.92050429006599,70,6,-0.817486405244656,0.0390658877429814,100,"PGA Tour"
77,68,"Soren Kjeldsen",-0.769171483265837,2.75770017476273,74,3,-0.756287516435428,-0.0128839668304088,97,"PGA Tour"
78,34,"Thomas Pieters",-0.757480920088805,2.94766610725549,64,14,-0.83423295956271,0.076752039473905,79,"PGA Tour"
79,61,"Jhonattan Vegas",-0.736594865358896,2.90883984881205,78,1,-0.722205576322753,-0.0143892890361429,107,"PGA Tour"
80,93,"Luke Donald",-0.733738601188953,2.73582565805559,77,3,-0.723533294893526,-0.0102053062954273,84,"PGA Tour"
81,42,"Kevin Chappell",-0.693739933119707,2.95854897563486,80,1,-0.675743663068036,-0.0179962700516713,88,"PGA Tour"
82,83,"Hudson Swafford",-0.691654772951361,2.8504279758884,94,-12,-0.575842351370117,-0.115812421581244,98,"PGA Tour"
83,58,"Andy Sullivan",-0.682763368627687,2.9135684778456,82,1,-0.668096837176367,-0.0146665314513197,84,"European Tour"
84,76,"Jim Herman",-0.677111355066356,2.79083636336812,86,-2,-0.645694142415116,-0.0314172126512399,89,"PGA Tour"
85,15,"Danny Willett",-0.669557634378128,2.97579575366033,85,0,-0.656306438028163,-0.013251196349965,81,"European Tour"
86,169,"Luke List",-0.668122250652773,2.83663399143294,93,-7,-0.578002944577037,-0.090119306075736,95,"PGA Tour"
87,284,"Nick Watney",-0.666871591863623,2.85893811995324,84,3,-0.659463241141913,-0.00740835072171031,27,"PGA Tour"
88,85,"Roberto Castro",-0.650858449104283,2.76151164130625,83,5,-0.66216007507932,0.0113016259750373,89,"PGA Tour"
89,63,"Thongchai Jaidee",-0.645661524684386,2.63380594732708,88,1,-0.629242644367117,-0.0164188803172693,101,"European Tour"
90,60,"Hideto Tanihara",-0.63667586905996,2.78609256068193,89,1,-0.621007689944735,-0.0156681791152247,101,"Japan Golf Tour"
91,92,"Jamie Lovemark",-0.631393798122644,2.90546867979311,95,-4,-0.558091137323287,-0.0733026607993568,98,"PGA Tour"
92,196,"Kyle Stanley",-0.6267234153321,2.71927960373468,96,-4,-0.536064924716773,-0.0906584906153265,90,"PGA Tour"
93,184,"Chad Campbell",-0.608442372571762,2.75701286835396,90,3,-0.617468201545968,0.00902582897420623,92,"PGA Tour"
94,79,"James Hahn",-0.559773161502987,2.84416628670138,97,-3,-0.535439835813966,-0.0243333256890209,90,"PGA Tour"
95,125,"Kevin Streelman",-0.557821443021025,2.82518252354919,91,4,-0.60832100085753,0.0504995578365049,89,"PGA Tour"
96,179,"David Hearn",-0.554543420817502,2.7550428509235,99,-3,-0.495737786811343,-0.0588056340061591,94,"PGA Tour"
97,86,"Sean O'Hair",-0.547727906298275,2.86688446475002,87,10,-0.63630337667977,0.0885754703814955,92,"PGA Tour"
98,124,"Robert Streb",-0.536328458843005,2.842299987408,98,0,-0.526023902704212,-0.0103045561387933,80,"PGA Tour"
99,98,"Danny Lee",-0.518823910577176,2.95471532901483,109,-10,-0.428995244348796,-0.0898286662283799,99,"PGA Tour"
100,101,"Bradley Dredge",-0.504063925432346,2.77938838964566,101,-1,-0.49206428160609,-0.0119996438262562,79,"European Tour"
101,120,"Cameron Smith",-0.499055477391411,2.80466004417961,107,-6,-0.439492123073686,-0.0595633543177253,102,"PGA Tour"
102,212,"JT Poston",-0.490171423554721,2.78581106369975,102,0,-0.480905127751096,-0.00926629580362465,102,"PGA Tour"
103,230,"Michael Kim",-0.483725563392603,2.76202933611737,114,-11,-0.389272378943383,-0.0944531844492205,96,"PGA Tour"
104,88,"David Lingmerth",-0.478981350501653,2.98697724809512,92,12,-0.599561973001595,0.120580622499942,88,"PGA Tour"
105,199,"Ian Poulter",-0.477992888492019,2.8322049218582,111,-6,-0.419290491187863,-0.0587023973041561,68,"PGA Tour"
106,87,"Daniel Summerhays",-0.477641131614533,2.81657888293937,100,6,-0.494315474531631,0.0166743429170985,92,"PGA Tour"
107,41,"Yuta Ikeda",-0.473213024864703,2.85921929519714,103,4,-0.456366942461111,-0.016846082403592,111,"Japan Golf Tour"
108,151,"Thomas Aiken",-0.460568565791108,2.66501910093046,105,3,-0.448690074372341,-0.0118784914187666,100,"European Tour"
109,182,"Matt Jones",-0.450894830670146,2.77484037396973,106,3,-0.441146028052515,-0.00974880261763122,70,"PGA Tour"
110,200,"John Huh",-0.450300042311495,2.80178854456217,104,6,-0.454221254210231,0.00392121189873573,89,"PGA Tour"
111,118,"J.J Spaun",-0.44345955662702,2.8833892449305,112,-1,-0.413541981524597,-0.0299175751024234,110,"PGA Tour"
112,139,"Richard Bland",-0.43977902192184,2.76949449997845,110,2,-0.425829775605211,-0.0139492463166291,89,"European Tour"
113,215,"Robert Garrigus",-0.412206593143369,2.80273102389927,113,0,-0.402303096202901,-0.00990349694046849,75,"PGA Tour"
114,237,"Martin Flores",-0.399146769444348,2.76086433202408,115,-1,-0.389042947306799,-0.0101038221375492,97,"PGA Tour"
115,523,"Ted Potter-jr",-0.38835578164564,2.82534559109669,116,-1,-0.37912114914554,-0.00923463250010031,72,"Web.com Tour"
116,157,"Vaughn Taylor",-0.376599438398321,2.68274905560038,133,-17,-0.278839188641707,-0.0977602497566141,93,"PGA Tour"
117,181,"Bud Cauley",-0.368522856633825,2.78155091757689,108,9,-0.430670401326903,0.0621475446930781,70,"PGA Tour"
118,134,"C.T. Pan",-0.362575298358633,2.74502846601951,119,-1,-0.34100374501788,-0.0215715533407525,110,"PGA Tour"
119,201,"John Senden",-0.350347885301615,2.67838228206586,120,-1,-0.338051003028451,-0.0122968822731636,93,"PGA Tour"
120,178,"Alex Cejka",-0.338727604536805,2.90470849843817,121,-1,-0.329005013901171,-0.00972259063563374,75,"PGA Tour"
121,103,"Alexander Levy",-0.337860164791843,2.93058816591896,122,-1,-0.323702644478308,-0.0141575203135348,76,"European Tour"
122,282,"Henrik Norlander",-0.333011465887831,2.78500858946361,123,-1,-0.322212999442965,-0.0107984664448665,69,"PGA Tour"
123,347,"Ryan Blaum",-0.324056912208937,2.69351972020828,127,-4,-0.310774308496127,-0.0132826037128104,112,"PGA Tour"
124,126,"Harold Varner III",-0.323248438866271,2.92050285994955,140,-16,-0.25542540487796,-0.0678230339883107,96,"PGA Tour"
125,247,"Jonas Blixt",-0.322617483198101,2.85368691967355,125,0,-0.312968671175419,-0.00964881202268225,71,"PGA Tour"
126,171,"Gregory Bourdy",-0.30909136466909,2.74529020843642,128,-2,-0.294707748735524,-0.0143836159335655,102,"European Tour"
127,173,"Alejandro Canizares",-0.305493050234322,2.73618823758397,129,-2,-0.291302104426966,-0.0141909458073559,68,"European Tour"
128,78,"Fabrizio Zanotti",-0.302992165660862,2.88405701141529,130,-2,-0.288788933916012,-0.0142032317448496,81,"European Tour"
129,174,"Peter Uihlein",-0.300013566166878,3.0276843154139,131,-2,-0.285444837071931,-0.014568729094947,40,"Asian Tour"
130,131,"Billy Hurley-III",-0.299959079191136,2.65740331628486,124,6,-0.314825844146286,0.01486676495515,90,"PGA Tour"
131,116,"Scott Brown",-0.285799236304965,2.9759497182124,117,14,-0.347000570417866,0.0612013341129013,80,"PGA Tour"
132,150,"Aaron Baddeley",-0.284354309959605,2.80181931208778,147,-15,-0.220131836985477,-0.0642224729741276,89,"PGA Tour"
133,365,"Shawn Stefani",-0.2751530551547,2.82140857370664,134,-1,-0.268032492594518,-0.00712056256018229,80,"PGA Tour"
134,248,"Blayne Barber",-0.270004820964271,2.87334948150826,139,-5,-0.255725085554162,-0.0142797354101094,78,"PGA Tour"
135,197,"Sunghoon Kang",-0.269844389993486,2.90665095119019,136,-1,-0.258076082772112,-0.0117683072213738,89,"PGA Tour"
136,45,"Jeunghun Wang",-0.269565270600859,3.05548242676173,162,-26,-0.168945774344941,-0.100619496255918,88,"European Tour"
137,128,"Ollie Schniederjans",-0.267865298656478,2.93787027143851,159,-22,-0.188743956939516,-0.0791213417169618,103,"PGA Tour"
138,325,"Tim Wilkinson",-0.267123354712648,2.73614814280759,137,1,-0.256303337654091,-0.0108200170585571,83,"PGA Tour"
139,438,"Aaron Wise",-0.264897759042365,2.82194730666352,138,1,-0.255826525898281,-0.00907123314408415,61,"PGA Tour"
140,97,"Jordan L Smith",-0.257051089518108,2.80323820948834,142,-2,-0.242784368859225,-0.0142667206588833,108,"Sunshine Tour"
141,102,"Victor Dubuisson",-0.253933809781711,2.98274453138452,143,-2,-0.242764512354377,-0.0111692974273337,36,"European Tour"
142,266,"Scott Stallings",-0.25355091188761,2.86026330622906,141,1,-0.2428184552819,-0.0107324566057102,81,"PGA Tour"
143,130,"Patton Kizzire",-0.250285852296442,2.87809784185818,132,11,-0.279726665774166,0.0294408134777236,81,"PGA Tour"
144,148,"George Coetzee",-0.236679531909728,2.96749333188761,145,-1,-0.22430002141729,-0.0123795104924383,103,"European Tour"
145,95,"Dean Burmester",-0.235663467393713,2.89960990923256,146,-1,-0.220273659875459,-0.0153898075182536,93,"Sunshine Tour"
146,187,"Peter Hanson",-0.228266967096405,2.84632536940941,148,-2,-0.217113675511233,-0.0111532915851721,64,"European Tour"
147,163,"Jerry Kelly",-0.222343649497266,2.86989550324685,149,-2,-0.213494861596398,-0.00884878790086818,60,"PGA Tour"
148,112,"Ryo Ishikawa",-0.221010409021172,2.93098702177142,150,-2,-0.207462090497316,-0.0135483185238565,52,"PGA Tour"
149,84,"Kiradech Aphibarnrat",-0.220470083388476,2.84801163871964,152,-3,-0.206659336246332,-0.013810747142144,88,"European Tour"
150,206,"Mikko Korhonen",-0.218839550067726,2.69513518428452,153,-3,-0.205337107688053,-0.0135024423796731,74,"European Tour"
151,100,"Andrew Johnston",-0.218332373138955,2.88358054712891,151,0,-0.206985459930757,-0.0113469132081983,84,"PGA Tour"
152,104,"David Lipsky",-0.215503467803402,2.8255956705239,155,-3,-0.198564716770018,-0.0169387510333842,98,"European Tour"
153,300,"Seamus Power",-0.215298538270827,2.80758176012335,154,-1,-0.204265709374187,-0.01103282889664,103,"PGA Tour"
154,249,"Seungyul Noh",-0.214890183641941,2.88141340001086,126,28,-0.311322337563732,0.0964321539217913,85,"PGA Tour"
155,168,"Romain Langasque",-0.21120546853246,2.75548756173789,156,-1,-0.196268277521756,-0.0149371910107035,108,"Sunshine Tour"
156,144,"Brian Stuard",-0.205638989762176,2.75856927804339,144,12,-0.2256646309712,0.0200256412090239,104,"PGA Tour"
157,221,"Cameron Tringale",-0.204153899802889,2.83646751633662,157,0,-0.195356183280986,-0.00879771652190303,85,"PGA Tour"
158,222,"Johnson Wagner",-0.200108088790247,2.89346007625822,158,0,-0.190355212493292,-0.00975287629695493,84,"PGA Tour"
