"Player_ID","Player_Name","Event_Name","Event_ID","Rank","OWGR_Rank","Projected_Rating","Projected_Stdev","Weight_Sum","Recent_Tour","Rounds_Last_Year","Round_1","Round_1_Completion","Projected_Rating_Start","Win","Top_5","Top_10","Win_Rank"
14636,"Jordan Spieth","Masters Tournament",6149,2,2,-2.49418568042166,2.27569001093375,91.8750359601696,"PGA Tour",96,-8.661958554,1,-2.37543197186086,0.4264,0.803,0.919,1
6093,"Justin Rose","Masters Tournament",6149,6,9,-2.15864664747055,2.20877006644731,83.9004401889266,"PGA Tour",94,-5.661958554,1,-2.08558521209804,0.0949,0.4343,0.6587,2
10091,"Rory McIlroy","Masters Tournament",6149,3,3,-2.42573473444227,2.28854790179081,73.0007175029806,"PGA Tour",74,-4.661958554,1,-2.37311814754159,0.0864,0.4042,0.6237,3
5689,"Sergio Garcia","Masters Tournament",6149,12,15,-1.86328320857365,2.1721451285575,76.1223287625693,"PGA Tour",79,-5.661958554,1,-1.77706952360259,0.0599,0.3365,0.5637,4
7108,"Paul Casey","Masters Tournament",6149,16,25,-1.62467031516228,2.12754865867071,79.0948458969555,"PGA Tour",82,-5.661958554,1,-1.53603109086622,0.037,0.265,0.4926,5
9771,"Jason Day","Masters Tournament",6149,1,1,-2.42891233731155,2.24310698826866,60.1380426479592,"PGA Tour",66,-2.661958554,1,-2.42245121892979,0.0361,0.2323,0.4335,6
13900,"Shane Lowry","Masters Tournament",6149,45,32,-1.11699541556184,2.18914891020888,79.1665500048438,"European Tour",82,-6.661958554,1,-0.995350730353431,0.0323,0.2257,0.4275,7
11826,"Danny Lee","Masters Tournament",6149,49,38,-1.06018968633081,2.18738511020095,93.4757472792981,"PGA Tour",108,-6.661958554,1,-0.953970597826307,0.0288,0.2206,0.4245,8
12920,"Danny Willett","Masters Tournament",6149,18,12,-1.4999089203864,2.23948734911462,81.1389501652016,"European Tour",86,-4.661958554,1,-1.43200930098968,0.0207,0.167,0.3508,9
5994,"Henrik Stenson","Masters Tournament",6149,4,6,-2.22986413116278,2.15730300028647,89.4307325019397,"PGA Tour",96,-2.661958554,1,-2.22134414097482,0.019,0.1691,0.3598,10
13562,"Hideki Matsuyama","Masters Tournament",6149,11,14,-1.83777420679753,2.17955287335923,82.453478468803,"PGA Tour",88,-3.661958554,1,-1.79914811537613,0.0189,0.1646,0.3464,11
1435,"Ian Poulter","Masters Tournament",6149,59,62,-0.981364057698566,2.19890179053492,84.2748813548657,"PGA Tour",93,-5.661958554,1,-0.884130087000665,0.0157,0.1312,0.2949,12
7293,"Jimmy Walker","Masters Tournament",6149,22,24,-1.42744144527398,2.37544711081538,87.3603922036796,"PGA Tour",90,-3.661958554,1,-1.3824634201441,0.014,0.1172,0.2576,13
8820,"Brandt Snedeker","Masters Tournament",6149,26,17,-1.34914784919141,2.33897777866488,80.847401585651,"PGA Tour",86,-3.661958554,1,-1.29932823840402,0.0121,0.0993,0.2366,14
12422,"Dustin Johnson","Masters Tournament",6149,8,8,-1.94332961203129,2.31529573157638,71.5321566552379,"PGA Tour",86,-1.661958554,1,-1.95006644415194,0.0102,0.0888,0.2177,15
11276,"Billy Horschel","Masters Tournament",6149,41,45,-1.10235615583609,2.19144532396827,82.8625619070673,"PGA Tour",85,-4.661958554,1,-1.02730858540148,0.0095,0.1022,0.237,16
1547,"Phil Mickelson","Masters Tournament",6149,13,18,-1.76945712966257,2.19519403298879,69.2742426326888,"PGA Tour",76,-2.661958554,1,-1.74749441686632,0.008,0.0922,0.2323,17
7899,"Scott Piercy","Masters Tournament",6149,68,47,-0.886036090338792,2.29803204833591,79.3699570973027,"PGA Tour",91,-4.661958554,1,-0.80338479917883,0.0072,0.0819,0.2008,18
6149,"Soren Kjeldsen","Masters Tournament",6149,114,44,-0.570355695827945,2.2210169335119,93.1740066623976,"European Tour",110,-5.661958554,1,-0.47353323902993,0.0071,0.0774,0.2003,19
5768,"Charley Hoffman","Masters Tournament",6149,51,59,-1.000357287305,2.34632371532995,81.5901638387919,"PGA Tour",85,-3.661958554,1,-0.943479488238861,0.0061,0.0678,0.164,20
6986,"Zach Johnson","Masters Tournament",6149,17,16,-1.5019168519244,2.15676754479686,82.1592761793835,"PGA Tour",88,-2.661958554,1,-1.4772768642536,0.0059,0.065,0.1751,21
7959,"J.B. Holmes","Masters Tournament",6149,27,23,-1.27797395340822,2.30715465343568,71.0109151029254,"PGA Tour",73,-2.661958554,1,-1.24462931195051,0.0051,0.0602,0.1494,22
7452,"Kevin Na","Masters Tournament",6149,20,27,-1.43205953392118,2.18615237370699,85.1524425175121,"PGA Tour",93,-2.661958554,1,-1.40674058180411,0.004,0.0552,0.1598,23.5
7672,"Louis Oosthuizen","Masters Tournament",6149,30,11,-1.24807973405981,2.19849097245322,75.4032794269627,"PGA Tour",86,-2.661958554,1,-1.21572674160438,0.004,0.0473,0.1362,23.5
12808,"Emiliano Grillo","Masters Tournament",6149,53,36,-0.977343599760666,2.16470007881904,93.889960423957,"European Tour",104,-3.661958554,1,-0.926637849310089,0.0036,0.0464,0.1418,25
