"Player_Name","Player_ID","Country","WGR_Rank","Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Jordan Spieth",14636,"USA","1","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Henrik Stenson",5994,"SWE","7","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Patrick Reed",14838,"USA","10","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Danny Willett",12920,"ENG","11","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Branden Grace",11952,"RSA","12","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Louis Oosthuizen",7672,"RSA","18","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Kevin Na",7452,"USA","26","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Matt Kuchar",6169,"USA","28","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Justin Thomas",14139,"USA","31","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Charl Schwartzel",7398,"RSA","32","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Russell Knox",13831,"SCO","33","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Danny Lee",11826,"NZL","34","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Martin Kaymer",8117,"GER","40","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Bill Haas",7900,"USA","43","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Chris Kirk",12423,"USA","54","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Graeme McDowell",7548,"NIR","55","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Daniel Berger",17606,"USA","57","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Charley Hoffman",5768,"USA","59","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
